Product ID*;"Attribute (Name:Type:Position)*	Value (Value:Position)*";Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
179696;Color:color:0;Negro:0;00026100000005;;;;;;;;;;;3;http://promosillas.com/tiendaonline/img/p/3/9/6/4/3964.jpg;;;;;
179696;Color:color:0;Gris:0;00026100000006;;;;;;;;;;;6;http://promosillas.com/tiendaonline/img/p/3/9/6/8/3968.jpg;;;;;
179696;Color:color:0;Azul:0;00026100000007;;;;;;;;;;;11;http://promosillas.com/tiendaonline/img/p/3/9/7/3/3973.jpg;;;;;
179696;Color:color:0;Rojo:0;00026100000008;;;;;;;;;;;16;http://promosillas.com/tiendaonline/img/p/3/9/7/8/3978.jpg;;;;;
179700;Color:color:0;Blanco:0;00026100000009;;;;;;;;;;;3;http://promosillas.com/tiendaonline/img/p/3/9/3/4/3934.jpg;;;;;
179700;Color:color:0;Negro:0;00026100000010;;;;;;;;;;;6;http://promosillas.com/tiendaonline/img/p/3/9/3/8/3938.jpg;;;;;
179702;Color:color:0;Blanco:0;00026100000011;;;;;;;;;;;3;http://promosillas.com/tiendaonline/img/p/3/9/4/4/3944.jpg;;;;;
179702;Color:color:0;Negro:0;00026100000012;;;;;;;;;;;6;http://promosillas.com/tiendaonline/img/p/3/9/4/8/3948.jpg;;;;;
179708;Color:color:0;Blanco:0;00026100000018;;;;;;;;;;;1;http://promosillas.com/tiendaonline/img/p/4/2/7/0/4270.jpg;;;;;
179708;Color:color:0;Negro:0;00026100000019;;;;;;;;;;;5;http://promosillas.com/tiendaonline/img/p/4/2/7/4/4274.jpg;;;;;
179711;Color:color:0;Azul:0;00026100000021;;;;;;;;;;;3;http://promosillas.com/tiendaonline/img/p/4/3/2/5/4325.jpg;;;;;
179711;Color:color:0;Gris:0;00026100000022;;;;;;;;;;;6;http://promosillas.com/tiendaonline/img/p/4/3/2/9/4329.jpg;;;;;
179711;Color:color:0;Negro:0;00026100000023;;;;;;;;;;;11;http://promosillas.com/tiendaonline/img/p/4/3/3/4/4334.jpg;;;;;
179711;Color:color:0;Rojo:0;00026100000024;;;;;;;;;;;16;http://promosillas.com/tiendaonline/img/p/4/3/3/9/4339.jpg;;;;;
179719;Color:color:0;Azul:0;00026100000025;;;;;;;;;;;4;http://promosillas.com/tiendaonline/img/p/4/1/4/1/4141.jpg;;;;;
179719;Color:color:0;Variante:0;00026100000026;;;;;;;;;;;6;http://promosillas.com/tiendaonline/img/p/4/1/4/5/4145.jpg;;;;;
