Category ID;Active (0/1);Name *;Parent category;Root category (0/1);Description;Meta title;Meta keywords;Meta description;URL rewritten;Image URL
208;1;Materiales;Home;0;Materiales;materiales;materiales;materiales;materiales;
217;1;Características;Home;0;Características;caracteristicas;caracteristicas;caracteristicas;caracteristicas;
229;1;Estilos;Home;0;Estilos;estilos;estilos;estilos;estilos;
233;1;Silla de colores;Home;0;Silla de colores;silla-de-colores;silla-de-colores;silla-de-colores;silla-de-colores;
240;1;Tipo;Home;0;Tipo;tipo;tipo;tipo;tipo;
209;1;Sillas de plástico;208;0;Sillas plástico;sillas-plastico;sillas-plastico;sillas-plastico;sillas-plastico;
210;1;Sillas metracrilato;208;0;Sillas metracrilato;sillas-metracrilato;sillas-metracrilato;sillas-metracrilato;sillas-metracrilato;
211;1;Sillas tapizadas;208;0;Sillas tapizadas;sillas-tapizadas;sillas-tapizadas;sillas-tapizadas;sillas-tapizadas;
212;1;Sillas de tela;208;0;Sillas tela;sillas-tela;sillas-tela;sillas-tela;sillas-tela;
213;1;Sillas de cuero;208;0;Sillas cuero;sillas -cuero;sillas -cuero;sillas -cuero;sillas -cuero;
214;1;Sillas de madera;208;0;Sillas madera;sillas-madera;sillas-madera;sillas-madera;sillas-madera;
215;1;Sillas metal;208;0;Sillas metal;sillas-metal;sillas-metal;sillas-metal;sillas-metal;
216;1;Sillas poliuretano;208;0;Sillas poliuretano;sillas-poliuretano;sillas-poliuretano;sillas-poliuretano;sillas-poliuretano;
218;1;Sillas altas;217;0;Sillas altas;sillas-altas;sillas-altas;sillas-altas;sillas-altas;
219;1;Sillas ligeras;217;0;Sillas ligeras;sillas-ligeras;sillas-ligeras;sillas-ligeras;sillas-ligeras;
220;1;Sillas con ruedas;217;0;Sillas con ruedas;sillas-con-ruedas;sillas-con-ruedas;sillas-con-ruedas;sillas-con-ruedas;
221;1;Sillas reclinables;217;0;Sillas reclinables;sillas-reclinables;sillas-reclinables;sillas-reclinables;sillas-reclinables;
222;1;Sillas apilables;217;0;Sillas apilables;sillas-apilables;sillas-apilables;sillas-apilables;sillas-apilables;
223;1;Sillas plegables;217;0;Sillas plegables;sillas-plegables;sillas-plegables;sillas-plegables;sillas-plegables;
224;1;Sillas reposabrazos;217;0;Sillas reposabrazos;sillas-reposabrazos;sillas-reposabrazos;sillas-reposabrazos;sillas-reposabrazos;
225;1;Sillas con brazos regulables;217;0;Sillas con brazos regulables;sillas-con-brazos-regulables;sillas-con-brazos-regulables;sillas-con-brazos-regulables;sillas-con-brazos-regulables;
226;1;Sillas acolchadas;217;0;Sillas acolchadas;sillas-acolchadas;sillas-acolchadas;sillas-acolchadas;sillas-acolchadas;
227;1;Sillas xxl;217;0;Sillas xxl;sillas-xxl;sillas-xxl;sillas-xxl;sillas-xxl;
228;1;Sillas para uso intensivo;217;0;Sillas para uso intensivo;sillas-para-uso-intensivo;sillas-para-uso-intensivo;sillas-para-uso-intensivo;sillas-para-uso-intensivo;
230;1;Sillas estilo nódico;219;0;Sillas estilo nódico;sillas-estilo-nodico;sillas-estilo-nodico;sillas-estilo-nodico;sillas-estilo-nodico;
231;1;Sillas modernas;219;0;Sillas modernas;sillas-modernas;sillas-modernas;sillas-modernas;sillas-modernas;
232;1;Sillas diseño;219;0;Sillas diseño;sillas-diseno;sillas-diseno;sillas-diseno;sillas-diseno;
234;1;Sillas blancas;233;0;Sillas blancas;sillas-blancas;sillas-blancas;sillas-blancas;sillas-blancas;
235;1;Sillas verdes;233;0;Sillas verdes;sillas-verdes;sillas-verdes;sillas-verdes;sillas-verdes;
236;1;Sillas transparentes;233;0;Sillas transparentes;sillas-transparentes;sillas-transparentes;sillas-transparentes;sillas-transparentes;
237;1;Sillas wengue;233;0;Sillas wengue;sillas-wengue;sillas-wengue;sillas-wengue;sillas-wengue;
238;1;Sillas amarillas;233;0;Sillas amarillas;sillas-amarillas;sillas-amarillas;sillas-amarillas;sillas-amarillas;
239;1;Sillas negras;233;0;Sillas negras;sillas-negras;sillas-negras;sillas-negras;sillas-negras;
241;1;Sillas juveniles;240;0;Sillas juveniles;sillas-juveniles;sillas-juveniles;sillas-juveniles;sillas-juveniles;
242;1;Sillas de cocina;240;0;Sillas de cocina;sillas-de-cocina;sillas-de-cocina;sillas-de-cocina;sillas-de-cocina;
243;1;Sillas comedor;240;0;Sillas comedor;sillas-comedor;sillas-comedor;sillas-comedor;sillas-comedor;
244;1;Sillas oficina;240;0;Sillas oficina;sillas-oficina;sillas-oficina;sillas-oficina;sillas-oficina;
245;1;Sillas gaming;240;0;Sillas gaming;sillas-gaming;sillas-gaming;sillas-gaming;sillas-gaming;
246;1;Sillas de escritorio;240;0;Sillas de escritorio;sillas-de-escritorio;sillas-de-escritorio;sillas-de-escritorio;sillas-de-escritorio;
247;1;Sillas bar;240;0;Sillas bar;sillas-bar;sillas-bar;sillas-bar;sillas-bar;
248;1;Sillas ergonómicas;240;0;Sillas ergonómicas;sillas-ergonomicas;sillas-ergonomicas;sillas-ergonomicas;sillas-ergonomicas;
249;1;Sillas giratorias;240;0;Sillas giratorias;sillas-giratorias;sillas-giratorias;sillas-giratorias;sillas-giratorias;
250;1;Sillas operativas;240;0;Sillas operativas;sillas-operativas;sillas-operativas;sillas-operativas;sillas-operativas;
251;1;Sillones de oficina;240;0;Sillones de oficina;sillones-de-oficina;sillones-de-oficina;sillones-de-oficina;sillones-de-oficina;
252;1;Taburetes;240;0;Taburetes;taburetes;taburetes;taburetes;taburetes;
253;1;Sillas confidente;240;0;Sillas confidente;sillas-confidente;sillas-confidente;sillas-confidente;sillas-confidente;
254;1;Sofás recepción;240;0;Sofás recepción;sofas-recepción;sofas-recepción;sofas-recepción;sofas-recepción;
255;1;Sillones relax;240;0;Sillones relax;sillones-relax;sillones-relax;sillones-relax;sillones-relax;
256;1;Sillas para mesa reunión;240;0;Sillas para mesa reunión;sillas-para-mesa-reunion;sillas-para-mesa-reunion;sillas-para-mesa-reunion;sillas-para-mesa-reunion;
257;1;Sillas ordenador;240;0;Sillas ordenador;sillas-ordenador;sillas-ordenador;sillas-ordenador;sillas-ordenador;
258;1;Sillas visita;240;0;Sillas visita;sillas-visita;sillas-visita;sillas-visita;sillas-visita;
259;1;Sillas para escuelas;240;0;Sillas para escuelas;sillas-para-escuelas;sillas-para-escuelas;sillas-para-escuelas;sillas-para-escuelas;
