Product ID;Active (0/1);Name *;Categories (x,y,z...);Price tax included;Tax rules ID;Reference #;EAN13;Weight;Quantity;Minimal quantity;Text when in stock;Available for order (0 = No, 1 = Yes);Show price (0 = No, 1 = Yes);en oferta;valor dto;desde dto;Image URLs (x,y,z...);Feature(Name:Value:Position);hasta dto;Description
179691;;;;;;;;;;;;;;;;;;bullet1:Calidad a buen precio. Una silla muy completa apta para su uso tanto en el hogar como la oficina;;
179696;;;;;;;;;;;;;;;;;;bullet1:Diseño elegante - El respaldo es comodo y robusto, con un embellecedor cromado en la parte posterior que le da un estilo muy elegante;;
200180;;;;;;;;;;;;;;;;;;bullet1:Diseño elegante. El respaldo es comodo y robusto, con un embellecedor cromado en la parte posterior que le da un estilo muy elegante;;
179700;;;;;;;;;;;;;;;;;;bullet1:Elegante. Un modelo muy confortable, resistente y estable, fabricado con materiales de gran calidad y con un diseño que aportará un toque distinguido y actual a tu despacho;;
179702;;;;;;;;;;;;;;;;;;bullet1:Elegante. Un modelo muy confortable, resistente y estable, fabricado con materiales de gran calidad y con un diseño que aportará un toque distinguido y actual a tu despacho;;
179703;;;;;;;;;;;;;;;;;;bullet1:Elegante. Un modelo muy confortable, resistente y estable, fabricado con materiales de gran calidad y con un diseño que aportará un toque distinguido y actual a tu despacho;;
179704;;;;;;;;;;;;;;;;;;bullet1:Elegante. Un modelo muy confortable, resistente y estable, fabricado con materiales de gran calidad y con un diseño que aportará un toque distinguido y actual a tu despacho;;
200082;;;;;;;;;;;;;;;;;;bullet1:Diseño elegante. Este sillón de oficina indudablemente destaca por su diseño. Nos encontramos ante una línea realmente atractiva, elegante y actual;;
200084;;;;;;;;;;;;;;;;;;bullet1:Diseño elegante. Este sillón de oficina indudablemente destaca por su diseño. Nos encontramos ante una línea realmente atractiva, elegante y actual;;
200079;;;;;;;;;;;;;;;;;;bullet1:Diseño elegante. Este sillón de oficina indudablemente destaca por su diseño. Nos encontramos ante una línea realmente atractiva, elegante y actual;;
200081;;;;;;;;;;;;;;;;;;bullet1:Diseño elegante. Este sillón de oficina indudablemente destaca por su diseño. Nos encontramos ante una línea realmente atractiva, elegante y actual;;
179708;;;;;;;;;;;;;;;;;;bullet1:Ergonómica. La ergonómica curvatura del respaldo ofrece un soprte firme para aliviar las tensiones de la columna vertebral;;
179710;;;;;;;;;;;;;;;;;;bullet1:Silla de oficina profesional. Amplia sentada, con mecanismo basculante, ajuste de tensión y brazos regulables. Su estructura en color blanco combina de forma muy elegante con el tapizado gris;;
179711;;;;;;;;;;;;;;;;;;bullet1:Silla de oficina profesional. Amplia sentada, con mecanismo basculante, ajuste de tensión y brazos regulables. Disponible en una gran variedad de colores.;;
179719;;;;;;;;;;;;;;;;;;bullet1:Ergonómica. Equipada con mecanismo relax, un tipo de mecanismo que se utiliza normalmente en sillones de superior categoría. La silla esta y viene equipada con ruedas de rodadura silenciosa, perfectas para suelos delicados;;
179720;;;;;;;;;;;;;;;;;;bullet1:Diseño y comodidad. Una silla de líneas geométricas moderna y actual. El respaldo con diseño ergonomico y apoyo liumbar regulable, asientos con terminación redondeada para un mejor apoyo de los muslos;;
179724;;;;;;;;;;;;;;;;;;bullet1:Diseño y comodidad. Una silla de líneas geométricas moderna y actual. El respaldo con diseño ergonomico y apoyo liumbar regulable, asientos con terminación redondeada para un mejor apoyo de los muslos;;
200119;;;;;;;;;;;;;;;;;;bullet1:Ajustable. El reposacabezas es regulable en angulo y altura adaptandose a nuestros movimientos;;
200125;;;;;;;;;;;;;;;;;;bullet1:Ajustable. El reposacabezas es regulable en angulo y altura adaptandose a nuestros movimientos;;
200191;;;;;;;;;;;;;;;;;;bullet1:;;
200137;;;;;;;;;;;;;;;;;;bullet1:Adaptable. El respaldo en red facilita la transpiración, mientras que sus líneas claras y sencillas proporcionan a esta silla un carácter discreto, fácilmente integrable en todo tipo de entornos convirtiéndose en el complemento ideal para cualquier oficina contemporánea.;;
200136;;;;;;;;;;;;;;;;;;bullet1:Adaptable. El respaldo en red facilita la transpiración, mientras que sus líneas claras y sencillas proporcionan a esta silla un carácter discreto, fácilmente integrable en todo tipo de entornos convirtiéndose en el complemento ideal para cualquier oficina contemporánea.;;
200192;;;;;;;;;;;;;;;;;;bullet1:;;
200139;;;;;;;;;;;;;;;;;;bullet1:Adaptable. El respaldo tapizado es muy confortable con espumación de alta densidad e incorpora regulación de altura para ajustarse de forma personalizada a la sentada de cada individuo. ;;
200145;;;;;;;;;;;;;;;;;;bullet1:;;
200140;;;;;;;;;;;;;;;;;;bullet1:Adaptable. El respaldo tapizado es muy confortable con espumación de alta densidad e incorpora regulación de altura para ajustarse de forma personalizada a la sentada de cada individuo. Esta tapizado en una ecopiel muy suave con tacto seda muy agradable al tacto;;
200141;;;;;;;;;;;;;;;;;;bullet1:Adaptable. El respaldo tapizado es muy confortable con espumación de alta densidad e incorpora regulación de altura para ajustarse de forma personalizada a la sentada de cada individuo. Esta tapizado en un tejido tecnico de altas prestaciones, resistente, antimanchas y muy agradable al tacto.;;
200144;;;;;;;;;;;;;;;;;;bullet1:;;
200188;;;;;;;;;;;;;;;;;;bullet1:Diseño.Protech es una silla de oficina ligera y estilizada, disponible en 2 alturas de respaldo diferentes y con opción de tapizado en red o en tejido. ;;
200190;;;;;;;;;;;;;;;;;;bullet1:Diseño.Protech es una silla de oficina ligera y estilizada, disponible en 2 alturas de respaldo diferentes y con opción de tapizado en red o en tejido. ;;
200185;;;;;;;;;;;;;;;;;;bullet1:Diseño.Protech es una silla de oficina ligera y estilizada, disponible en 2 alturas de respaldo diferentes y con opción de tapizado en red o en tejido. ;;
200187;;;;;;;;;;;;;;;;;;"bullet1:Diseño.Protech es una silla de oficina ligera y estilizada, disponible en 2 alturas de respaldo diferentes y con opción de tapizado en red o en tejido. 
";;
179725;;;;;;;;;;;;;;;;;;bullet1:Ergonomía y ciencia. Una silla ergonómica de alta tecnología y absolutamente regulable y customizable para cada usuario. Pruebela, sin duda su espalda se lo agradecerá!;;
179729;;;;;;;;;;;;;;;;;;bullet1:Ergonomía y ciencia. Una silla ergonómica de alta tecnología y absolutamente regulable y customizable para cada usuario. Pruebela, sin duda su espalda se lo agradecerá!;;
200181;;;;;;;;;;;;;;;;;;bullet1:Ergonómico. El reposabezas es muy ergonomico y adaptable facilitando el descanso del cuello. ;;
179730;;;;;;;;;;;;;;;;;;bullet1:Ergonómica. Silla de trabajo profesional, diseñada con nuevos sistemas de ajuste inteligente, que se adaptan a la forma y peso del usuario;;
179731;;;;;;;;;;;;;;;;;;bullet1:Ergonómica. Silla de trabajo profesional, diseñada con nuevos sistemas de ajuste inteligente, que se adaptan a la forma y peso del usuario;;
179733;;;;;;;;;;;;;;;;;;bullet1:Ergónomica. Fantástica silla ergonomica de altas prestaciones tecnicas. Muy recomendable para personas que pasen su jornada laboral sentadas.Podrás pasar horas y horas en ella, ya sea estudiando o delante del ordenador, tras estas largas sesiones te encontrarás perfectamente, seguro que notas la diferencia.;;
179734;;;;;;;;;;;;;;;;;;bullet1:Ergónomica. Fantástica silla ergonomica de altas prestaciones tecnicas. Muy recomendable para personas que pasen su jornada laboral sentadas.Podrás pasar horas y horas en ella, ya sea estudiando o delante del ordenador, tras estas largas sesiones te encontrarás perfectamente, seguro que notas la diferencia.;;
200164;;;;;;;;;;;;;;;;;;bullet1:;;
179735;;;;;;;;;;;;;;;;;;bullet1:;;
179736;;;;;;;;;;;;;;;;;;bullet1:;;
200134;;;;;;;;;;;;;;;;;;bullet1:;;
200131;;;;;;;;;;;;;;;;;;bullet1:;;
179746;;;;;;;;;;;;;;;;;;bullet1:;;
179732;;;;;;;;;;;;;;;;;;bullet1:;;
200177;;;;;;;;;;;;;;;;;;bullet1:;;
179747;;;;;;;;;;;;;;;;;;bullet1:;;
179749;;;;;;;;;;;;;;;;;;bullet1:;;
179754;;;;;;;;;;;;;;;;;;bullet1:;;
179755;;;;;;;;;;;;;;;;;;bullet1:;;
179760;;;;;;;;;;;;;;;;;;bullet1:;;
200167;;;;;;;;;;;;;;;;;;bullet1:;;
200168;;;;;;;;;;;;;;;;;;bullet1:;;
200171;;;;;;;;;;;;;;;;;;bullet1:;;
200110;;;;;;;;;;;;;;;;;;bullet1:;;
196642;;;;;;;;;;;;;;;;;;bullet1:;;
196643;;;;;;;;;;;;;;;;;;bullet1:;;
200111;;;;;;;;;;;;;;;;;;bullet1:;;
200112;;;;;;;;;;;;;;;;;;bullet1:;;
200115;;;;;;;;;;;;;;;;;;bullet1:;;
200116;;;;;;;;;;;;;;;;;;bullet1:;;
200172;;;;;;;;;;;;;;;;;;bullet1:;;
200176;;;;;;;;;;;;;;;;;;bullet1:;;
179761;;;;;;;;;;;;;;;;;;bullet1:;;
179762;;;;;;;;;;;;;;;;;;bullet1:;;
200174;;;;;;;;;;;;;;;;;;bullet1:;;
200165;;;;;;;;;;;;;;;;;;bullet1:;;
200175;;;;;;;;;;;;;;;;;;bullet1:;;
200146;;;;;;;;;;;;;;;;;;bullet1:;;
200147;;;;;;;;;;;;;;;;;;bullet1:;;
200148;;;;;;;;;;;;;;;;;;bullet1:;;
200197;;;;;;;;;;;;;;;;;;bullet1:;;
200198;;;;;;;;;;;;;;;;;;bullet1:;;
200095;;;;;;;;;;;;;;;;;;bullet1:;;
200089;;;;;;;;;;;;;;;;;;bullet1:;;
200211;;;;;;;;;;;;;;;;;;bullet1:;;
200053;;;;;;;;;;;;;;;;;;bullet1:;;
200313;;;;;;;;;;;;;;;;;;bullet1:;;
200297;;;;;;;;;;;;;;;;;;bullet1:;;
200325;;;;;;;;;;;;;;;;;;bullet1:;;
200326;;;;;;;;;;;;;;;;;;bullet1:;;
200296;;;;;;;;;;;;;;;;;;bullet1:;;
200203;;;;;;;;;;;;;;;;;;bullet1:;;
200107;;;;;;;;;;;;;;;;;;bullet1:;;
200312;;;;;;;;;;;;;;;;;;bullet1:;;
200059;;;;;;;;;;;;;;;;;;bullet1:;;
200058;;;;;;;;;;;;;;;;;;bullet1:;;
200056;;;;;;;;;;;;;;;;;;bullet1:;;
200057;;;;;;;;;;;;;;;;;;bullet1:;;
179769;;;;;;;;;;;;;;;;;;bullet1:;;
179773;;;;;;;;;;;;;;;;;;bullet1:;;
179774;;;;;;;;;;;;;;;;;;bullet1:;;
200173;;;;;;;;;;;;;;;;;;bullet1:;;
179777;;;;;;;;;;;;;;;;;;bullet1:;;
187384;;;;;;;;;;;;;;;;;;bullet1:;;
187385;;;;;;;;;;;;;;;;;;bullet1:;;
194593;;;;;;;;;;;;;;;;;;bullet1:;;
194608;;;;;;;;;;;;;;;;;;bullet1:;;
196703;;;;;;;;;;;;;;;;;;bullet1:;;
196706;;;;;;;;;;;;;;;;;;bullet1:;;
196709;;;;;;;;;;;;;;;;;;bullet1:;;
196634;;;;;;;;;;;;;;;;;;bullet1:;;
196638;;;;;;;;;;;;;;;;;;bullet1:;;
196651;;;;;;;;;;;;;;;;;;bullet1:;;
196656;;;;;;;;;;;;;;;;;;bullet1:;;
196660;;;;;;;;;;;;;;;;;;bullet1:;;
196663;;;;;;;;;;;;;;;;;;bullet1:;;
196666;;;;;;;;;;;;;;;;;;bullet1:;;
196668;;;;;;;;;;;;;;;;;;bullet1:;;
154542;;;;;;;;;;;;;;;;;;bullet1:;;
122690;;;;;;;;;;;;;;;;;;bullet1:;;
122725;;;;;;;;;;;;;;;;;;bullet1:;;
65593;;;;;;;;;;;;;;;;;;bullet1:;;
129154;;;;;;;;;;;;;;;;;;bullet1:;;
154881;;;;;;;;;;;;;;;;;;bullet1:;;
4164;;;;;;;;;;;;;;;;;;bullet1:;;
69237;;;;;;;;;;;;;;;;;;bullet1:;;
69241;;;;;;;;;;;;;;;;;;bullet1:;;
97692;;;;;;;;;;;;;;;;;;bullet1:;;
186789;;;;;;;;;;;;;;;;;;bullet1:;;
4149;;;;;;;;;;;;;;;;;;bullet1:;;
4153;;;;;;;;;;;;;;;;;;bullet1:;;
191380;;;;;;;;;;;;;;;;;;bullet1:;;
191384;;;;;;;;;;;;;;;;;;bullet1:;;
191388;;;;;;;;;;;;;;;;;;bullet1:;;
191392;;;;;;;;;;;;;;;;;;bullet1:;;
191430;;;;;;;;;;;;;;;;;;bullet1:;;
191433;;;;;;;;;;;;;;;;;;bullet1:;;
191436;;;;;;;;;;;;;;;;;;bullet1:;;
191439;;;;;;;;;;;;;;;;;;bullet1:;;
54733;;;;;;;;;;;;;;;;;;bullet1:;;
191440;;;;;;;;;;;;;;;;;;bullet1:;;
54737;;;;;;;;;;;;;;;;;;bullet1:;;
191442;;;;;;;;;;;;;;;;;;bullet1:;;
191458;;;;;;;;;;;;;;;;;;bullet1:;;
191461;;;;;;;;;;;;;;;;;;bullet1:;;
191463;;;;;;;;;;;;;;;;;;bullet1:;;
191464;;;;;;;;;;;;;;;;;;bullet1:;;
191465;;;;;;;;;;;;;;;;;;bullet1:;;
191466;;;;;;;;;;;;;;;;;;bullet1:;;
191486;;;;;;;;;;;;;;;;;;bullet1:;;
191491;;;;;;;;;;;;;;;;;;bullet1:;;
191492;;;;;;;;;;;;;;;;;;bullet1:;;
70759;;;;;;;;;;;;;;;;;;bullet1:;;
191507;;;;;;;;;;;;;;;;;;bullet1:;;
141205;;;;;;;;;;;;;;;;;;bullet1:;;
154559;;;;;;;;;;;;;;;;;;bullet1:;;
191508;;;;;;;;;;;;;;;;;;bullet1:;;
191510;;;;;;;;;;;;;;;;;;bullet1:;;
191513;;;;;;;;;;;;;;;;;;bullet1:;;
141203;;;;;;;;;;;;;;;;;;bullet1:;;
154540;;;;;;;;;;;;;;;;;;bullet1:;;
191516;;;;;;;;;;;;;;;;;;bullet1:;;
191517;;;;;;;;;;;;;;;;;;bullet1:;;
154554;;;;;;;;;;;;;;;;;;bullet1:;;
154558;;;;;;;;;;;;;;;;;;bullet1:;;
43768;;;;;;;;;;;;;;;;;;bullet1:;;
43773;;;;;;;;;;;;;;;;;;bullet1:;;
191480;;;;;;;;;;;;;;;;;;bullet1:;;
4131;;;;;;;;;;;;;;;;;;bullet1:;;
4137;;;;;;;;;;;;;;;;;;bullet1:;;
191376;;;;;;;;;;;;;;;;;;bullet1:;;
191379;;;;;;;;;;;;;;;;;;bullet1:;;
189242;;;;;;;;;;;;;;;;;;bullet1:;;
189243;;;;;;;;;;;;;;;;;;bullet1:;;
196610;;;;;;;;;;;;;;;;;;bullet1:;;
196613;;;;;;;;;;;;;;;;;;bullet1:;;
196617;;;;;;;;;;;;;;;;;;bullet1:;;
196621;;;;;;;;;;;;;;;;;;bullet1:;;
194601;;;;;;;;;;;;;;;;;;bullet1:;;
194600;;;;;;;;;;;;;;;;;;bullet1:;;
194599;;;;;;;;;;;;;;;;;;bullet1:;;
200328;;;;;;;;;;;;;;;;;;bullet1:;;
200330;;;;;;;;;;;;;;;;;;bullet1:;;
200332;;;;;;;;;;;;;;;;;;bullet1:;;
200334;;;;;;;;;;;;;;;;;;bullet1:;;
200335;;;;;;;;;;;;;;;;;;bullet1:;;
200336;;;;;;;;;;;;;;;;;;bullet1:;;
