,Atributo (nombre:tipo:posición),Valor (valor:posición),Por defecto,Cantidad,Cantidad mínima
1508,Talla:select:0,XS:0,0,500,1
1508,Talla:select:0,S:0,0,500,1
1508,Talla:select:0,M:0,1,500,1
1508,Talla:select:0,L:0,0,500,1
1508,Talla:select:0,XL:0,0,500,1
1508,Talla:select:0,XXL:0,0,500,1
1509,Talla:select:0,XS:0,0,500,1
1509,Talla:select:0,S:0,0,500,1
1509,Talla:select:0,M:0,1,500,1
1509,Talla:select:0,L:0,0,500,1
1509,Talla:select:0,XL:0,0,500,1
1509,Talla:select:0,XXL:0,0,500,1
1510,Talla:select:0,XS:0,0,500,1
1510,Talla:select:0,S:0,0,500,1
1510,Talla:select:0,M:0,1,500,1
1510,Talla:select:0,L:0,0,500,1
1510,Talla:select:0,XL:0,0,500,1
1510,Talla:select:0,XXL:0,0,500,1
1511,Talla:select:0,XS:0,0,500,1
1511,Talla:select:0,S:0,0,500,1
1511,Talla:select:0,M:0,1,500,1
1511,Talla:select:0,L:0,0,500,1
1511,Talla:select:0,XL:0,0,500,1
1511,Talla:select:0,XXL:0,0,500,1
1512,Talla:select:0,XS:0,0,500,1
1512,Talla:select:0,S:0,0,500,1
1512,Talla:select:0,M:0,1,500,1
1512,Talla:select:0,L:0,0,500,1
1512,Talla:select:0,XL:0,0,500,1
1512,Talla:select:0,XXL:0,0,500,1
1513,Talla:select:0,XS:0,0,500,1
1513,Talla:select:0,S:0,0,500,1
1513,Talla:select:0,M:0,1,500,1
1513,Talla:select:0,L:0,0,500,1
1513,Talla:select:0,XL:0,0,500,1
1513,Talla:select:0,XXL:0,0,500,1
1514,Talla:select:0,XS:0,0,500,1
1514,Talla:select:0,S:0,0,500,1
1514,Talla:select:0,M:0,1,500,1
1514,Talla:select:0,L:0,0,500,1
1514,Talla:select:0,XL:0,0,500,1
1514,Talla:select:0,XXL:0,0,500,1
1515,Talla:select:0,XS:0,0,500,1
1515,Talla:select:0,S:0,0,500,1
1515,Talla:select:0,M:0,1,500,1
1515,Talla:select:0,L:0,0,500,1
1515,Talla:select:0,XL:0,0,500,1
1515,Talla:select:0,XXL:0,0,500,1
1516,Talla:select:0,XS:0,0,500,1
1516,Talla:select:0,S:0,0,500,1
1516,Talla:select:0,M:0,1,500,1
1516,Talla:select:0,L:0,0,500,1
1516,Talla:select:0,XL:0,0,500,1
1516,Talla:select:0,XXL:0,0,500,1
1517,Talla:select:0,XS:0,0,500,1
1517,Talla:select:0,S:0,0,500,1
1517,Talla:select:0,M:0,1,500,1
1517,Talla:select:0,L:0,0,500,1
1517,Talla:select:0,XL:0,0,500,1
1517,Talla:select:0,XXL:0,0,500,1
1518,Talla:select:0,XS:0,0,500,1
1518,Talla:select:0,S:0,0,500,1
1518,Talla:select:0,M:0,1,500,1
1518,Talla:select:0,L:0,0,500,1
1518,Talla:select:0,XL:0,0,500,1
1518,Talla:select:0,XXL:0,0,500,1
1519,Talla:select:0,XS:0,0,500,1
1519,Talla:select:0,S:0,0,500,1
1519,Talla:select:0,M:0,1,500,1
1519,Talla:select:0,L:0,0,500,1
1519,Talla:select:0,XL:0,0,500,1
1519,Talla:select:0,XXL:0,0,500,1
1520,Talla:select:0,XS:0,0,500,1
1520,Talla:select:0,S:0,0,500,1
1520,Talla:select:0,M:0,1,500,1
1520,Talla:select:0,L:0,0,500,1
1520,Talla:select:0,XL:0,0,500,1
1520,Talla:select:0,XXL:0,0,500,1
1521,Talla:select:0,XS:0,0,500,1
1521,Talla:select:0,S:0,0,500,1
1521,Talla:select:0,M:0,1,500,1
1521,Talla:select:0,L:0,0,500,1
1521,Talla:select:0,XL:0,0,500,1
1521,Talla:select:0,XXL:0,0,500,1
1522,Talla:select:0,XS:0,0,500,1
1522,Talla:select:0,S:0,0,500,1
1522,Talla:select:0,M:0,1,500,1
1522,Talla:select:0,L:0,0,500,1
1522,Talla:select:0,XL:0,0,500,1
1522,Talla:select:0,XXL:0,0,500,1
1523,Talla:select:0,XS:0,0,500,1
1523,Talla:select:0,S:0,0,500,1
1523,Talla:select:0,M:0,1,500,1
1523,Talla:select:0,L:0,0,500,1
1523,Talla:select:0,XL:0,0,500,1
1523,Talla:select:0,XXL:0,0,500,1
1524,Talla:select:0,XS:0,0,500,1
1524,Talla:select:0,S:0,0,500,1
1524,Talla:select:0,M:0,1,500,1
1524,Talla:select:0,L:0,0,500,1
1524,Talla:select:0,XL:0,0,500,1
1524,Talla:select:0,XXL:0,0,500,1
1525,Talla:select:0,XS:0,0,500,1
1525,Talla:select:0,S:0,0,500,1
1525,Talla:select:0,M:0,1,500,1
1525,Talla:select:0,L:0,0,500,1
1525,Talla:select:0,XL:0,0,500,1
1525,Talla:select:0,XXL:0,0,500,1
1526,Talla:select:0,XS:0,0,500,1
1526,Talla:select:0,S:0,0,500,1
1526,Talla:select:0,M:0,1,500,1
1526,Talla:select:0,L:0,0,500,1
1526,Talla:select:0,XL:0,0,500,1
1526,Talla:select:0,XXL:0,0,500,1
1527,Talla:select:0,XS:0,0,500,1
1527,Talla:select:0,S:0,0,500,1
1527,Talla:select:0,M:0,1,500,1
1527,Talla:select:0,L:0,0,500,1
1527,Talla:select:0,XL:0,0,500,1
1527,Talla:select:0,XXL:0,0,500,1
1528,Talla:select:0,XS:0,0,500,1
1528,Talla:select:0,S:0,0,500,1
1528,Talla:select:0,M:0,1,500,1
1528,Talla:select:0,L:0,0,500,1
1528,Talla:select:0,XL:0,0,500,1
1528,Talla:select:0,XXL:0,0,500,1
1529,Talla:select:0,XS:0,0,500,1
1529,Talla:select:0,S:0,0,500,1
1529,Talla:select:0,M:0,1,500,1
1529,Talla:select:0,L:0,0,500,1
1529,Talla:select:0,XL:0,0,500,1
1529,Talla:select:0,XXL:0,0,500,1
1530,Talla:select:0,XS:0,0,500,1
1530,Talla:select:0,S:0,0,500,1
1530,Talla:select:0,M:0,1,500,1
1530,Talla:select:0,L:0,0,500,1
1530,Talla:select:0,XL:0,0,500,1
1530,Talla:select:0,XXL:0,0,500,1
1531,Talla:select:0,XS:0,0,500,1
1531,Talla:select:0,S:0,0,500,1
1531,Talla:select:0,M:0,1,500,1
1531,Talla:select:0,L:0,0,500,1
1531,Talla:select:0,XL:0,0,500,1
1531,Talla:select:0,XXL:0,0,500,1
1532,Talla:select:0,XS:0,0,500,1
1532,Talla:select:0,S:0,0,500,1
1532,Talla:select:0,M:0,1,500,1
1532,Talla:select:0,L:0,0,500,1
1532,Talla:select:0,XL:0,0,500,1
1532,Talla:select:0,XXL:0,0,500,1
1533,Talla:select:0,XS:0,0,500,1
1533,Talla:select:0,S:0,0,500,1
1533,Talla:select:0,M:0,1,500,1
1533,Talla:select:0,L:0,0,500,1
1533,Talla:select:0,XL:0,0,500,1
1533,Talla:select:0,XXL:0,0,500,1
1534,Talla:select:0,XS:0,0,500,1
1534,Talla:select:0,S:0,0,500,1
1534,Talla:select:0,M:0,1,500,1
1534,Talla:select:0,L:0,0,500,1
1534,Talla:select:0,XL:0,0,500,1
1534,Talla:select:0,XXL:0,0,500,1
1535,Talla:select:0,XS:0,0,500,1
1535,Talla:select:0,S:0,0,500,1
1535,Talla:select:0,M:0,1,500,1
1535,Talla:select:0,L:0,0,500,1
1535,Talla:select:0,XL:0,0,500,1
1535,Talla:select:0,XXL:0,0,500,1
1536,Talla:select:0,XS:0,0,500,1
1536,Talla:select:0,S:0,0,500,1
1536,Talla:select:0,M:0,1,500,1
1536,Talla:select:0,L:0,0,500,1
1536,Talla:select:0,XL:0,0,500,1
1536,Talla:select:0,XXL:0,0,500,1
1537,Talla:select:0,XS:0,0,500,1
1537,Talla:select:0,S:0,0,500,1
1537,Talla:select:0,M:0,1,500,1
1537,Talla:select:0,L:0,0,500,1
1537,Talla:select:0,XL:0,0,500,1
1537,Talla:select:0,XXL:0,0,500,1
1538,Talla:select:0,XS:0,0,500,1
1538,Talla:select:0,S:0,0,500,1
1538,Talla:select:0,M:0,1,500,1
1538,Talla:select:0,L:0,0,500,1
1538,Talla:select:0,XL:0,0,500,1
1538,Talla:select:0,XXL:0,0,500,1
1539,Talla:select:0,XS:0,0,500,1
1539,Talla:select:0,S:0,0,500,1
1539,Talla:select:0,M:0,1,500,1
1539,Talla:select:0,L:0,0,500,1
1539,Talla:select:0,XL:0,0,500,1
1539,Talla:select:0,XXL:0,0,500,1
1540,Talla:select:0,XS:0,0,500,1
1540,Talla:select:0,S:0,0,500,1
1540,Talla:select:0,M:0,1,500,1
1540,Talla:select:0,L:0,0,500,1
1540,Talla:select:0,XL:0,0,500,1
