ID del producto,Atributo (nombre:tipo:posición),Valor (valor:posición),Por defecto,Cantidad,Cantidad mínima
2476,Talla:select:0,XL:0,0,500,1
2476,Talla:select:0,XXL:0,0,500,1
2477,Talla:select:0,XS:0,0,500,1
2477,Talla:select:0,S:0,0,500,1
2477,Talla:select:0,M:0,1,500,1
2477,Talla:select:0,L:0,0,500,1
2477,Talla:select:0,XL:0,0,500,1
2477,Talla:select:0,XXL:0,0,500,1
2478,Talla:select:0,XS:0,0,500,1
2478,Talla:select:0,S:0,0,500,1
2478,Talla:select:0,M:0,1,500,1
2478,Talla:select:0,L:0,0,500,1
2478,Talla:select:0,XL:0,0,500,1
2478,Talla:select:0,XXL:0,0,500,1
2479,Talla:select:0,XS:0,0,500,1
2479,Talla:select:0,S:0,0,500,1
2479,Talla:select:0,M:0,1,500,1
2479,Talla:select:0,L:0,0,500,1
2479,Talla:select:0,XL:0,0,500,1
2479,Talla:select:0,XXL:0,0,500,1
2480,Talla:select:0,XS:0,0,500,1
2480,Talla:select:0,S:0,0,500,1
2480,Talla:select:0,M:0,1,500,1
2480,Talla:select:0,L:0,0,500,1
2480,Talla:select:0,XL:0,0,500,1
2480,Talla:select:0,XXL:0,0,500,1
2481,Talla:select:0,XS:0,0,500,1
2481,Talla:select:0,S:0,0,500,1
2481,Talla:select:0,M:0,1,500,1
2481,Talla:select:0,L:0,0,500,1
2481,Talla:select:0,XL:0,0,500,1
2481,Talla:select:0,XXL:0,0,500,1
2482,Talla:select:0,XS:0,0,500,1
2482,Talla:select:0,S:0,0,500,1
2482,Talla:select:0,M:0,1,500,1
2482,Talla:select:0,L:0,0,500,1
2482,Talla:select:0,XL:0,0,500,1
2482,Talla:select:0,XXL:0,0,500,1
2483,Talla:select:0,XS:0,0,500,1
2483,Talla:select:0,S:0,0,500,1
2483,Talla:select:0,M:0,1,500,1
2483,Talla:select:0,L:0,0,500,1
2483,Talla:select:0,XL:0,0,500,1
2483,Talla:select:0,XXL:0,0,500,1
2484,Talla:select:0,XS:0,0,500,1
2484,Talla:select:0,S:0,0,500,1
2484,Talla:select:0,M:0,1,500,1
2484,Talla:select:0,L:0,0,500,1
2484,Talla:select:0,XL:0,0,500,1
2484,Talla:select:0,XXL:0,0,500,1
2485,Talla:select:0,XS:0,0,500,1
2485,Talla:select:0,S:0,0,500,1
2485,Talla:select:0,M:0,1,500,1
2485,Talla:select:0,L:0,0,500,1
2485,Talla:select:0,XL:0,0,500,1
2485,Talla:select:0,XXL:0,0,500,1
2486,Talla:select:0,XS:0,0,500,1
2486,Talla:select:0,S:0,0,500,1
2486,Talla:select:0,M:0,1,500,1
2486,Talla:select:0,L:0,0,500,1
2486,Talla:select:0,XL:0,0,500,1
2486,Talla:select:0,XXL:0,0,500,1
2487,Talla:select:0,XS:0,0,500,1
2487,Talla:select:0,S:0,0,500,1
2487,Talla:select:0,M:0,1,500,1
2487,Talla:select:0,L:0,0,500,1
2487,Talla:select:0,XL:0,0,500,1
2487,Talla:select:0,XXL:0,0,500,1
2488,Talla:select:0,XS:0,0,500,1
2488,Talla:select:0,S:0,0,500,1
2488,Talla:select:0,M:0,1,500,1
2488,Talla:select:0,L:0,0,500,1
2488,Talla:select:0,XL:0,0,500,1
2488,Talla:select:0,XXL:0,0,500,1
2489,Talla:select:0,XS:0,0,500,1
2489,Talla:select:0,S:0,0,500,1
2489,Talla:select:0,M:0,1,500,1
2489,Talla:select:0,L:0,0,500,1
2489,Talla:select:0,XL:0,0,500,1
2489,Talla:select:0,XXL:0,0,500,1
2490,Talla:select:0,XS:0,0,500,1
2490,Talla:select:0,S:0,0,500,1
2490,Talla:select:0,M:0,1,500,1
2490,Talla:select:0,L:0,0,500,1
2490,Talla:select:0,XL:0,0,500,1
2490,Talla:select:0,XXL:0,0,500,1
2491,Talla:select:0,XS:0,0,500,1
2491,Talla:select:0,S:0,0,500,1
2491,Talla:select:0,M:0,1,500,1
2491,Talla:select:0,L:0,0,500,1
2491,Talla:select:0,XL:0,0,500,1
2491,Talla:select:0,XXL:0,0,500,1
2492,Talla:select:0,XS:0,0,500,1
2492,Talla:select:0,S:0,0,500,1
2492,Talla:select:0,M:0,1,500,1
2492,Talla:select:0,L:0,0,500,1
2492,Talla:select:0,XL:0,0,500,1
2492,Talla:select:0,XXL:0,0,500,1
2493,Talla:select:0,XS:0,0,500,1
2493,Talla:select:0,S:0,0,500,1
2493,Talla:select:0,M:0,1,500,1
2493,Talla:select:0,L:0,0,500,1
2493,Talla:select:0,XL:0,0,500,1
2493,Talla:select:0,XXL:0,0,500,1
2494,Talla:select:0,XS:0,0,500,1
2494,Talla:select:0,S:0,0,500,1
2494,Talla:select:0,M:0,1,500,1
2494,Talla:select:0,L:0,0,500,1
2494,Talla:select:0,XL:0,0,500,1
2494,Talla:select:0,XXL:0,0,500,1
2495,Talla:select:0,XS:0,0,500,1
2495,Talla:select:0,S:0,0,500,1
2495,Talla:select:0,M:0,1,500,1
2495,Talla:select:0,L:0,0,500,1
2495,Talla:select:0,XL:0,0,500,1
2495,Talla:select:0,XXL:0,0,500,1
2496,Talla:select:0,XS:0,0,500,1
2496,Talla:select:0,S:0,0,500,1
2496,Talla:select:0,M:0,1,500,1
2496,Talla:select:0,L:0,0,500,1
2496,Talla:select:0,XL:0,0,500,1
2496,Talla:select:0,XXL:0,0,500,1
2497,Talla:select:0,XS:0,0,500,1
2497,Talla:select:0,S:0,0,500,1
2497,Talla:select:0,M:0,1,500,1
2497,Talla:select:0,L:0,0,500,1
2497,Talla:select:0,XL:0,0,500,1
2497,Talla:select:0,XXL:0,0,500,1
2498,Talla:select:0,XS:0,0,500,1
2498,Talla:select:0,S:0,0,500,1
2498,Talla:select:0,M:0,1,500,1
2498,Talla:select:0,L:0,0,500,1
