ID del producto,Atributo (nombre:tipo:posición),Valor (valor:posición),Por defecto,Cantidad,Cantidad mínima
4121,Talla:select:0,XS:0,0,500,1
4121,Talla:select:0,S:0,0,500,1
4121,Talla:select:0,M:0,1,500,1
4121,Talla:select:0,L:0,0,500,1
4121,Talla:select:0,XL:0,0,500,1
4121,Talla:select:0,XXL:0,0,500,1
4122,Talla:select:0,XS:0,0,500,1
4122,Talla:select:0,S:0,0,500,1
4122,Talla:select:0,M:0,1,500,1
4122,Talla:select:0,L:0,0,500,1
4122,Talla:select:0,XL:0,0,500,1
4122,Talla:select:0,XXL:0,0,500,1
4123,Talla:select:0,XS:0,0,500,1
4123,Talla:select:0,S:0,0,500,1
4123,Talla:select:0,M:0,1,500,1
4123,Talla:select:0,L:0,0,500,1
4123,Talla:select:0,XL:0,0,500,1
4123,Talla:select:0,XXL:0,0,500,1
4124,Talla:select:0,XS:0,0,500,1
4124,Talla:select:0,S:0,0,500,1
4124,Talla:select:0,M:0,1,500,1
4124,Talla:select:0,L:0,0,500,1
4124,Talla:select:0,XL:0,0,500,1
4124,Talla:select:0,XXL:0,0,500,1
4125,Talla:select:0,XS:0,0,500,1
4125,Talla:select:0,S:0,0,500,1
4125,Talla:select:0,M:0,1,500,1
4125,Talla:select:0,L:0,0,500,1
4125,Talla:select:0,XL:0,0,500,1
4125,Talla:select:0,XXL:0,0,500,1
4126,Talla:select:0,XS:0,0,500,1
4126,Talla:select:0,S:0,0,500,1
4126,Talla:select:0,M:0,1,500,1
4126,Talla:select:0,L:0,0,500,1
4126,Talla:select:0,XL:0,0,500,1
4126,Talla:select:0,XXL:0,0,500,1
4127,Talla:select:0,XS:0,0,500,1
4127,Talla:select:0,S:0,0,500,1
4127,Talla:select:0,M:0,1,500,1
4127,Talla:select:0,L:0,0,500,1
4127,Talla:select:0,XL:0,0,500,1
4127,Talla:select:0,XXL:0,0,500,1
4128,Talla:select:0,XS:0,0,500,1
4128,Talla:select:0,S:0,0,500,1
4128,Talla:select:0,M:0,1,500,1
4128,Talla:select:0,L:0,0,500,1
4128,Talla:select:0,XL:0,0,500,1
4128,Talla:select:0,XXL:0,0,500,1
4129,Talla:select:0,XS:0,0,500,1
4129,Talla:select:0,S:0,0,500,1
4129,Talla:select:0,M:0,1,500,1
4129,Talla:select:0,L:0,0,500,1
4129,Talla:select:0,XL:0,0,500,1
4129,Talla:select:0,XXL:0,0,500,1
4130,Talla:select:0,XS:0,0,500,1
4130,Talla:select:0,S:0,0,500,1
4130,Talla:select:0,M:0,1,500,1
4130,Talla:select:0,L:0,0,500,1
4130,Talla:select:0,XL:0,0,500,1
4130,Talla:select:0,XXL:0,0,500,1
4131,Talla:select:0,XS:0,0,500,1
4131,Talla:select:0,S:0,0,500,1
4131,Talla:select:0,M:0,1,500,1
4131,Talla:select:0,L:0,0,500,1
4131,Talla:select:0,XL:0,0,500,1
4131,Talla:select:0,XXL:0,0,500,1
4132,Talla:select:0,XS:0,0,500,1
4132,Talla:select:0,S:0,0,500,1
4132,Talla:select:0,M:0,1,500,1
4132,Talla:select:0,L:0,0,500,1
4132,Talla:select:0,XL:0,0,500,1
4132,Talla:select:0,XXL:0,0,500,1
4133,Talla:select:0,XS:0,0,500,1
4133,Talla:select:0,S:0,0,500,1
4133,Talla:select:0,M:0,1,500,1
4133,Talla:select:0,L:0,0,500,1
4133,Talla:select:0,XL:0,0,500,1
4133,Talla:select:0,XXL:0,0,500,1
4134,Talla:select:0,XS:0,0,500,1
4134,Talla:select:0,S:0,0,500,1
4134,Talla:select:0,M:0,1,500,1
4134,Talla:select:0,L:0,0,500,1
4134,Talla:select:0,XL:0,0,500,1
4134,Talla:select:0,XXL:0,0,500,1
4135,Talla:select:0,XS:0,0,500,1
4135,Talla:select:0,S:0,0,500,1
4135,Talla:select:0,M:0,1,500,1
4135,Talla:select:0,L:0,0,500,1
4135,Talla:select:0,XL:0,0,500,1
4135,Talla:select:0,XXL:0,0,500,1
4136,Talla:select:0,XS:0,0,500,1
4136,Talla:select:0,S:0,0,500,1
4136,Talla:select:0,M:0,1,500,1
4136,Talla:select:0,L:0,0,500,1
4136,Talla:select:0,XL:0,0,500,1
4136,Talla:select:0,XXL:0,0,500,1
4137,Talla:select:0,XS:0,0,500,1
4137,Talla:select:0,S:0,0,500,1
4137,Talla:select:0,M:0,1,500,1
4137,Talla:select:0,L:0,0,500,1
4137,Talla:select:0,XL:0,0,500,1
4137,Talla:select:0,XXL:0,0,500,1
4138,Talla:select:0,XS:0,0,500,1
