Product ID;Active (0/1);Name *;Categories (x,y,z...);Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Low stock level;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Image alt texts (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
1;1;Silla plastico 1;209;50;1;80;1;;5.5;01/06/2013;31/12/2018;RP-demo_1;RF-demo_1;Applestore;Apple;1,23457E+12;;1;0.6;0.2;0.4;0.068357;160;1;0;;;;;<p>New design.</p>;<p>New design.</p>;apple, ipod, nano;Meta title-Nano;Meta keywords-Nano;Meta description-Nano;iPod-Nano;In Stock;Current supply. Ordering availlable;1;01/03/2013;01/01/2013;1;http://localhost/prestashop/img/p/1/5/15.jpg,http://localhost/prestashop/img/p/2/3/23.jpg;First alt text,Second alt text;0;;0;new;0;0;0;0;0;0;0;0
2;1;Silla plastico 2;209;50;1;40;1;;;01/06/2013;31/12/2018;RP-demo_2;RF-demo_2;Applestore;Apple;1,23457E+12;;1;0.1;0.1;0.1;0.027563;120;1;1;both;;;;<p>New design.</p>;<p>New design.</p>;ipod, shuffle;Meta title-Shuffle;Meta keywords-Shuffle;Meta description-Shuffle;iPod-shuffle;In Stock;Current supply. Ordering availlable;1;01/03/2013;02/01/2013;1;http://localhost/prestashop/img/p/2/3/23.jpg;First alt text;0;;0;new;0;0;0;0;0;0;0;0
3;1;Silla plastico 3;209;50;1;1000;1;100;;01/06/2013;31/12/2018;RP-demo_3;RF-demo_3;Applestore;Apple;1,23457E+12;;2;1.31;0.3;1;2.976.846;400;1;2;catalog;;;;<p>New design.</p>;<p>New design.</p>;MacBook, Air;Meta title-McBookAir;Meta keywords-McBookAir;Meta description-McBookAir;MacBook-Air;In Stock;Current supply. Ordering availlable;1;01/03/2013;03/01/2013;1;http://localhost/prestashop/img/p/1/1.jpg;First alt text;1;;0;new;0;0;0;0;0;0;0;0
4;1;Silla metacrilato 1;210;1150;1;750;1;;;01/06/2013;31/12/2018;RP-demo_4;RF-demo_4;Applestore;Apple;1,23457E+12;;2;1.31;0.3;1;4.454.244;75;1;3;search;;;;<p>New design.</p>;<p>New design.</p>;MacBook, Pro;Meta title-McBookPro;Meta keywords-McBookPro;Meta description-McBookPro;MacBook;In Stock;Current supply. Ordering availlable;1;01/03/2013;04/01/2013;1;http://localhost/prestashop/img/p/6/6.jpg;First alt text;1;;0;new;0;0;0;0;0;0;0;0
5;1;Silla metacrilato 2;210;240;1;150;1;;;01/06/2013;31/12/2018;RP-demo_5;RF-demo_5;Applestore;Apple;1,23457E+12;;1;0.6;0.2;0.4;0.194046;120;1;;none;;;;<p>New design.</p>;<p>New design.</p>;Ipod touch;Meta title-IpodTouch;Meta keywords-IpodTouch;Meta description-IpodTouch;iPod-touch;In Stock;Current supply. Ordering availlable;1;01/03/2013;05/01/2013;1;http://localhost/prestashop/img/p/7/7.jpg;First alt text;0;;1;used;0;0;0;0;0;0;0;0
6;1;Silla metacrilato 3;210;25;1;150;1;;;01/06/2013;31/12/2018;RP-demo_6;RF-demo_6;Nippon Electronic Import;Belkin;1,23457E+12;;0;0.6;0.2;0.4;0.038588;25;1;0;;20;;;<p>New design.</p>;<p>New design.</p>;Folio, leather;Meta title-BelkinLeatherFolio;Meta keywords-BelkinLeatherFolio;Meta description-BelkinLeatherFolio;Belkin-Leather-Folio-for-iPod-nano---Black-Chocolate;In Stock;Current supply. Ordering availlable;1;01/03/2013;06/01/2013;1;http://localhost/prestashop/img/p/1/3/13.jpg;First alt text;0;;1;refurbished;0;0;0;0;0;0;0;0
7;1;Silla tapizada 1;211;125;2;80;1;;;01/06/2013;31/12/2018;RP-demo_7;RF-demo_7;Shure Online Store;Shure;1,23457E+12;;0;0.1;0.1;0.1;0.040793;15;1;1;;;;;<p>New design.</p>;<p>New design.</p>;Headphones;Meta title-ShureEarphones;Meta keywords-ShureEarphones;Meta description-ShureEarphones;Shure-SE210-Sound-Isolating-Earphones-for-iPod-and-iPhone;In Stock;Current supply. Ordering availlable;1;01/03/2013;07/01/2013;1;http://localhost/prestashop/img/p/1/4/14.jpg;First alt text;0;;1;new;0;0;0;0;0;0;0;0
8;1;Silla tapizada 2;211;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1;Silla tapizada 3;211;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1;Silla tela 1;212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
