A;B;C;D;E;F;G;H;I
Product ID*;Attribute (Name:Type:Position)*;Value (Value:Position)*;Reference;Impact on price;Quantity;Minimal quantity;Default (0 = No, 1 = Yes);IMPACT on price (NETOS)
179691;tapizado:Color:0;NEGRO:0;00026100000000;0;0;1;0;0
179691;tapizado:Color:0;AZUL:0;00026100000001;0;0;1;1;0
179691;tapizado:Color:0;GRIS:0;00026100000002;0;0;1;0;0
179691;tapizado:Color:0;ROJO:0;00026100000003;0;0;1;0;0
179691;tapizado:Color:0;VERDE:0;00026100000004;0;0;1;0;0
179691;tapizado:Color:0;NARANJA:0;00026100000114;0;0;1;0;0
179696;color:Color:0;NEGRO:0;00026100000005;0;0;1;0;0
179696;color:Color:0;GRIS:0;00026100000006;0;0;1;1;0
179696;color:Color:0;AZUL:0;00026100000007;0;0;1;0;0
179696;color:Color:0;ROJO:0;00026100000008;0;0;1;0;0
200180;;;00026000000652;0;0;1;1;0
179700;color:Color:0;RED BLANCA:0;00026100000009;0;0;1;0;0
179700;color:Color:0;RED NEGRA:0;00026100000010;0;0;1;1;0
179702;color:Color:0;RED BLANCA:0;00026100000011;0;0;1;0;0
179702;color:Color:0;RED NEGRA:0;00026100000012;0;0;1;1;0
179703;;;00026100000013;0;0;1;1;0
179704;;;00026100000014;0;0;1;1;0
200082;color:Color:0;RED BLANCA:0;00026000000555;0;0;1;0;0
200082;color:Color:0;RED NEGRA:0;00026000000554;0;0;1;1;0
200084;color:Color:0;RED BLANCA:0;00026000000557;0;0;1;0;0
200084;color:Color:0;RED NEGRA:0;00026000000556;0;0;1;1;0
200079;acabado:Color:0;ECOPIEL BLANCA:0;00026000000551;0;0;1;1;0
200079;acabado:Color:0;ECOPIEL NEGRA:0;00026000000550;0;0;1;0;0
200081;acabado:Color:0;ECOPIEL BLANCA:0;00026000000553;0;0;1;1;0
200081;acabado:Color:0;ECOPIEL NEGRA:0;00026000000552;0;0;1;0;0
179708;color:Color:0;BEIGE:0;00026100000018;0;0;1;1;0
179708;color:Color:0;NEGRA:0;00026100000019;-14;0;1;0;-12.099999999999994
179710;;;00026100000020;0;0;1;1;0
179711;color:Color:0;AZUL:0;00026100000021;0;0;1;1;0
179711;color:Color:0;GRIS:0;00026100000022;0;0;1;0;0
179711;color:Color:0;NEGRO:0;00026100000023;0;0;1;0;0
179711;color:Color:0;ROJO:0;00026100000024;0;0;1;0;0
179711;color:Color:0;NARANJA:0;00026000000589;0;0;1;0;0
179711;color:Color:0;VERDE:0;00026000000590;0;0;1;0;0
179719;color:Color:0;AZUL:0;00026100000025;0;0;1;0;0
179719;color:Color:0;BURDEOS:0;00026100000026;0;0;1;0;0
179719;color:Color:0;NARANJA:0;00026100000027;0;0;1;0;0
179719;color:Color:0;NEGRO:0;00026100000028;0;0;1;0;0
179719;color:Color:0;GRIS:0;00026100000029;0;0;1;1;0
179720;color:Color:0;NEGRO:0;00026100000030;0;0;1;1;0
179720;color:Color:0;AZUL:0;00026100000031;0;0;1;0;0
179720;color:Color:0;BURDEOS:0;00026100000032;0;0;1;0;0
179720;color:Color:0;GRIS:0;00026100000033;0;0;1;0;0
179720;color:Color:0;NARANJA:0;00026000000592;0;0;1;0;0
179720;color:Color:0;VERDE:0;00026000000598;0;0;1;0;0
179724;;;00026100000034;0;0;1;1;0
200191;;;00026000000663;0;0;1;1;0
200125;;;00026000000597;0;0;1;1;0
200119;color:Color:0;NEGRO:0;00026000000591;0;0;1;1;0
200119;color:Color:0;AZUL:0;00026000000596;0;0;1;0;0
