ID del producto,Atributo (nombre:tipo:posición),Valor (valor:posición),Por defecto,Cantidad,Cantidad mínima
2351,Talla:select:0,XS:0,0,500,1
2351,Talla:select:0,S:0,0,500,1
2351,Talla:select:0,M:0,1,500,1
2351,Talla:select:0,L:0,0,500,1
2351,Talla:select:0,XL:0,0,500,1
2351,Talla:select:0,XXL:0,0,500,1
2352,Talla:select:0,XS:0,0,500,1
2352,Talla:select:0,S:0,0,500,1
2352,Talla:select:0,M:0,1,500,1
2352,Talla:select:0,L:0,0,500,1
2352,Talla:select:0,XL:0,0,500,1
2352,Talla:select:0,XXL:0,0,500,1
2353,Talla:select:0,XS:0,0,500,1
2353,Talla:select:0,S:0,0,500,1
2353,Talla:select:0,M:0,1,500,1
2353,Talla:select:0,L:0,0,500,1
2353,Talla:select:0,XL:0,0,500,1
2353,Talla:select:0,XXL:0,0,500,1
2354,Talla:select:0,XS:0,0,500,1
2354,Talla:select:0,S:0,0,500,1
2354,Talla:select:0,M:0,1,500,1
2354,Talla:select:0,L:0,0,500,1
2354,Talla:select:0,XL:0,0,500,1
2354,Talla:select:0,XXL:0,0,500,1
2355,Talla:select:0,XS:0,0,500,1
2355,Talla:select:0,S:0,0,500,1
2355,Talla:select:0,M:0,1,500,1
2355,Talla:select:0,L:0,0,500,1
2355,Talla:select:0,XL:0,0,500,1
2355,Talla:select:0,XXL:0,0,500,1
2356,Talla:select:0,XS:0,0,500,1
2356,Talla:select:0,S:0,0,500,1
2356,Talla:select:0,M:0,1,500,1
2356,Talla:select:0,L:0,0,500,1
2356,Talla:select:0,XL:0,0,500,1
2356,Talla:select:0,XXL:0,0,500,1
2357,Talla:select:0,XS:0,0,500,1
2357,Talla:select:0,S:0,0,500,1
2357,Talla:select:0,M:0,1,500,1
2357,Talla:select:0,L:0,0,500,1
2357,Talla:select:0,XL:0,0,500,1
2357,Talla:select:0,XXL:0,0,500,1
2358,Talla:select:0,XS:0,0,500,1
2358,Talla:select:0,S:0,0,500,1
2358,Talla:select:0,M:0,1,500,1
2358,Talla:select:0,L:0,0,500,1
2358,Talla:select:0,XL:0,0,500,1
2358,Talla:select:0,XXL:0,0,500,1
2359,Talla:select:0,XS:0,0,500,1
2359,Talla:select:0,S:0,0,500,1
2359,Talla:select:0,M:0,1,500,1
2359,Talla:select:0,L:0,0,500,1
2359,Talla:select:0,XL:0,0,500,1
2359,Talla:select:0,XXL:0,0,500,1
2360,Talla:select:0,XS:0,0,500,1
2360,Talla:select:0,S:0,0,500,1
2360,Talla:select:0,M:0,1,500,1
2360,Talla:select:0,L:0,0,500,1
2360,Talla:select:0,XL:0,0,500,1
2360,Talla:select:0,XXL:0,0,500,1
2361,Talla:select:0,XS:0,0,500,1
2361,Talla:select:0,S:0,0,500,1
2361,Talla:select:0,M:0,1,500,1
2361,Talla:select:0,L:0,0,500,1
2361,Talla:select:0,XL:0,0,500,1
2361,Talla:select:0,XXL:0,0,500,1
2362,Talla:select:0,XS:0,0,500,1
2362,Talla:select:0,S:0,0,500,1
2362,Talla:select:0,M:0,1,500,1
2362,Talla:select:0,L:0,0,500,1
2362,Talla:select:0,XL:0,0,500,1
2362,Talla:select:0,XXL:0,0,500,1
2363,Talla:select:0,XS:0,0,500,1
2363,Talla:select:0,S:0,0,500,1
2363,Talla:select:0,M:0,1,500,1
2363,Talla:select:0,L:0,0,500,1
2363,Talla:select:0,XL:0,0,500,1
2363,Talla:select:0,XXL:0,0,500,1
2364,Talla:select:0,XS:0,0,500,1
2364,Talla:select:0,S:0,0,500,1
2364,Talla:select:0,M:0,1,500,1
2364,Talla:select:0,L:0,0,500,1
2364,Talla:select:0,XL:0,0,500,1
2364,Talla:select:0,XXL:0,0,500,1
2365,Talla:select:0,XS:0,0,500,1
2365,Talla:select:0,S:0,0,500,1
2365,Talla:select:0,M:0,1,500,1
2365,Talla:select:0,L:0,0,500,1
2365,Talla:select:0,XL:0,0,500,1
2365,Talla:select:0,XXL:0,0,500,1
2366,Talla:select:0,XS:0,0,500,1
2366,Talla:select:0,S:0,0,500,1
2366,Talla:select:0,M:0,1,500,1
2366,Talla:select:0,L:0,0,500,1
2366,Talla:select:0,XL:0,0,500,1
2366,Talla:select:0,XXL:0,0,500,1
2367,Talla:select:0,XS:0,0,500,1
2367,Talla:select:0,S:0,0,500,1
2367,Talla:select:0,M:0,1,500,1
2367,Talla:select:0,L:0,0,500,1
2367,Talla:select:0,XL:0,0,500,1
2367,Talla:select:0,XXL:0,0,500,1
2368,Talla:select:0,XS:0,0,500,1
2368,Talla:select:0,S:0,0,500,1
2368,Talla:select:0,M:0,1,500,1
2368,Talla:select:0,L:0,0,500,1
2368,Talla:select:0,XL:0,0,500,1
2368,Talla:select:0,XXL:0,0,500,1
2369,Talla:select:0,XS:0,0,500,1
