ID del producto,Atributo (nombre:tipo:posición),Valor (valor:posición),Por defecto,Cantidad,Cantidad mínima,impacto en el precio
1755,Talla:select:0,Twin:0,0,500,1,0
1755,Talla:select:0,Queen:0,0,500,1,40
1755,Talla:select:0,King:0,0,500,1,80
1756,Talla:select:0,Twin:0,0,500,1,0
1756,Talla:select:0,Queen:0,0,500,1,40
1756,Talla:select:0,King:0,0,500,1,80
1757,Talla:select:0,Twin:0,0,500,1,0
1757,Talla:select:0,Queen:0,0,500,1,40
1757,Talla:select:0,King:0,0,500,1,80
1758,Talla:select:0,Twin:0,0,500,1,0
1758,Talla:select:0,Queen:0,0,500,1,40
1758,Talla:select:0,King:0,0,500,1,80
1759,Talla:select:0,Twin:0,0,500,1,0
1759,Talla:select:0,Queen:0,0,500,1,40
1759,Talla:select:0,King:0,0,500,1,80
1760,Talla:select:0,Twin:0,0,500,1,0
1760,Talla:select:0,Queen:0,0,500,1,40
1760,Talla:select:0,King:0,0,500,1,80
1761,Talla:select:0,Twin:0,0,500,1,0
1761,Talla:select:0,Queen:0,0,500,1,40
1761,Talla:select:0,King:0,0,500,1,80
1762,Talla:select:0,Twin:0,0,500,1,0
1762,Talla:select:0,Queen:0,0,500,1,40
1762,Talla:select:0,King:0,0,500,1,80
1763,Talla:select:0,Twin:0,0,500,1,0
1763,Talla:select:0,Queen:0,0,500,1,40
1763,Talla:select:0,King:0,0,500,1,80
1764,Talla:select:0,Twin:0,0,500,1,0
1764,Talla:select:0,Queen:0,0,500,1,40
1764,Talla:select:0,King:0,0,500,1,80
1765,Talla:select:0,Twin:0,0,500,1,0
1765,Talla:select:0,Queen:0,0,500,1,40
1765,Talla:select:0,King:0,0,500,1,80
1766,Talla:select:0,Twin:0,0,500,1,0
1766,Talla:select:0,Queen:0,0,500,1,40
1766,Talla:select:0,King:0,0,500,1,80
1767,Talla:select:0,Twin:0,0,500,1,0
1767,Talla:select:0,Queen:0,0,500,1,40
1767,Talla:select:0,King:0,0,500,1,80
1768,Talla:select:0,Twin:0,0,500,1,0
1768,Talla:select:0,Queen:0,0,500,1,40
1768,Talla:select:0,King:0,0,500,1,80
1769,Talla:select:0,Twin:0,0,500,1,0
1769,Talla:select:0,Queen:0,0,500,1,40
1769,Talla:select:0,King:0,0,500,1,80
1770,Talla:select:0,Twin:0,0,500,1,0
1770,Talla:select:0,Queen:0,0,500,1,40
1770,Talla:select:0,King:0,0,500,1,80
1771,Talla:select:0,Twin:0,0,500,1,0
1771,Talla:select:0,Queen:0,0,500,1,40
1771,Talla:select:0,King:0,0,500,1,80
1772,Talla:select:0,Twin:0,0,500,1,0
1772,Talla:select:0,Queen:0,0,500,1,40
1772,Talla:select:0,King:0,0,500,1,80
1773,Talla:select:0,Twin:0,0,500,1,0
1773,Talla:select:0,Queen:0,0,500,1,40
1773,Talla:select:0,King:0,0,500,1,80
1774,Talla:select:0,Twin:0,0,500,1,0
1774,Talla:select:0,Queen:0,0,500,1,40
1774,Talla:select:0,King:0,0,500,1,80
1775,Talla:select:0,Twin:0,0,500,1,0
1775,Talla:select:0,Queen:0,0,500,1,40
1775,Talla:select:0,King:0,0,500,1,80
1776,Talla:select:0,Twin:0,0,500,1,0
