ID del producto,Atributo (nombre:tipo:posición),Valor (valor:posición),Por defecto,Cantidad,Cantidad mínima
3174,Talla:select:0,XS:0,0,500,1
3174,Talla:select:0,S:0,0,500,1
3174,Talla:select:0,M:0,1,500,1
3174,Talla:select:0,L:0,0,500,1
3174,Talla:select:0,XL:0,0,500,1
3174,Talla:select:0,XXL:0,0,500,1
3175,Talla:select:0,XS:0,0,500,1
3175,Talla:select:0,S:0,0,500,1
3175,Talla:select:0,M:0,1,500,1
3175,Talla:select:0,L:0,0,500,1
3175,Talla:select:0,XL:0,0,500,1
3175,Talla:select:0,XXL:0,0,500,1
3176,Talla:select:0,XS:0,0,500,1
3176,Talla:select:0,S:0,0,500,1
3176,Talla:select:0,M:0,1,500,1
3176,Talla:select:0,L:0,0,500,1
3176,Talla:select:0,XL:0,0,500,1
3176,Talla:select:0,XXL:0,0,500,1
3177,Talla:select:0,XS:0,0,500,1
3177,Talla:select:0,S:0,0,500,1
3177,Talla:select:0,M:0,1,500,1
3177,Talla:select:0,L:0,0,500,1
3177,Talla:select:0,XL:0,0,500,1
3177,Talla:select:0,XXL:0,0,500,1
3178,Talla:select:0,XS:0,0,500,1
3178,Talla:select:0,S:0,0,500,1
3178,Talla:select:0,M:0,1,500,1
3178,Talla:select:0,L:0,0,500,1
3178,Talla:select:0,XL:0,0,500,1
3178,Talla:select:0,XXL:0,0,500,1
3179,Talla:select:0,XS:0,0,500,1
3179,Talla:select:0,S:0,0,500,1
3179,Talla:select:0,M:0,1,500,1
3179,Talla:select:0,L:0,0,500,1
3179,Talla:select:0,XL:0,0,500,1
3179,Talla:select:0,XXL:0,0,500,1
3180,Talla:select:0,XS:0,0,500,1
3180,Talla:select:0,S:0,0,500,1
3180,Talla:select:0,M:0,1,500,1
3180,Talla:select:0,L:0,0,500,1
3180,Talla:select:0,XL:0,0,500,1
3180,Talla:select:0,XXL:0,0,500,1
3181,Talla:select:0,XS:0,0,500,1
3181,Talla:select:0,S:0,0,500,1
3181,Talla:select:0,M:0,1,500,1
3181,Talla:select:0,L:0,0,500,1
3181,Talla:select:0,XL:0,0,500,1
3181,Talla:select:0,XXL:0,0,500,1
3182,Talla:select:0,XS:0,0,500,1
3182,Talla:select:0,S:0,0,500,1
3182,Talla:select:0,M:0,1,500,1
3182,Talla:select:0,L:0,0,500,1
3182,Talla:select:0,XL:0,0,500,1
3182,Talla:select:0,XXL:0,0,500,1
3183,Talla:select:0,XS:0,0,500,1
3183,Talla:select:0,S:0,0,500,1
3183,Talla:select:0,M:0,1,500,1
3183,Talla:select:0,L:0,0,500,1
3183,Talla:select:0,XL:0,0,500,1
3183,Talla:select:0,XXL:0,0,500,1
3184,Talla:select:0,XS:0,0,500,1
3184,Talla:select:0,S:0,0,500,1
3184,Talla:select:0,M:0,1,500,1
3184,Talla:select:0,L:0,0,500,1
3184,Talla:select:0,XL:0,0,500,1
3184,Talla:select:0,XXL:0,0,500,1
3185,Talla:select:0,XS:0,0,500,1
3185,Talla:select:0,S:0,0,500,1
3185,Talla:select:0,M:0,1,500,1
3185,Talla:select:0,L:0,0,500,1
3185,Talla:select:0,XL:0,0,500,1
3185,Talla:select:0,XXL:0,0,500,1
3186,Talla:select:0,XS:0,0,500,1
3186,Talla:select:0,S:0,0,500,1
3186,Talla:select:0,M:0,1,500,1
3186,Talla:select:0,L:0,0,500,1
3186,Talla:select:0,XL:0,0,500,1
3186,Talla:select:0,XXL:0,0,500,1
3187,Talla:select:0,XS:0,0,500,1
3187,Talla:select:0,S:0,0,500,1
3187,Talla:select:0,M:0,1,500,1
3187,Talla:select:0,L:0,0,500,1
