ID del producto,Atributo (nombre:tipo:posición),Valor (valor:posición),Por defecto,Cantidad,Cantidad mínima
3988,Talla:select:0,XS:0,0,500,1
3988,Talla:select:0,S:0,0,500,1
3988,Talla:select:0,M:0,1,500,1
3988,Talla:select:0,L:0,0,500,1
3988,Talla:select:0,XL:0,0,500,1
3988,Talla:select:0,XXL:0,0,500,1
3989,Talla:select:0,XS:0,0,500,1
3989,Talla:select:0,S:0,0,500,1
3989,Talla:select:0,M:0,1,500,1
3989,Talla:select:0,L:0,0,500,1
3989,Talla:select:0,XL:0,0,500,1
3989,Talla:select:0,XXL:0,0,500,1
3990,Talla:select:0,XS:0,0,500,1
3990,Talla:select:0,S:0,0,500,1
3990,Talla:select:0,M:0,1,500,1
3990,Talla:select:0,L:0,0,500,1
3990,Talla:select:0,XL:0,0,500,1
3990,Talla:select:0,XXL:0,0,500,1
3991,Talla:select:0,XS:0,0,500,1
3991,Talla:select:0,S:0,0,500,1
3991,Talla:select:0,M:0,1,500,1
3991,Talla:select:0,L:0,0,500,1
3991,Talla:select:0,XL:0,0,500,1
3991,Talla:select:0,XXL:0,0,500,1
3992,Talla:select:0,XS:0,0,500,1
3992,Talla:select:0,S:0,0,500,1
3992,Talla:select:0,M:0,1,500,1
3992,Talla:select:0,L:0,0,500,1
3992,Talla:select:0,XL:0,0,500,1
3992,Talla:select:0,XXL:0,0,500,1
3993,Talla:select:0,XS:0,0,500,1
3993,Talla:select:0,S:0,0,500,1
3993,Talla:select:0,M:0,1,500,1
3993,Talla:select:0,L:0,0,500,1
3993,Talla:select:0,XL:0,0,500,1
3993,Talla:select:0,XXL:0,0,500,1
3994,Talla:select:0,XS:0,0,500,1
3994,Talla:select:0,S:0,0,500,1
3994,Talla:select:0,M:0,1,500,1
3994,Talla:select:0,L:0,0,500,1
3994,Talla:select:0,XL:0,0,500,1
3994,Talla:select:0,XXL:0,0,500,1
3995,Talla:select:0,XS:0,0,500,1
3995,Talla:select:0,S:0,0,500,1
3995,Talla:select:0,M:0,1,500,1
3995,Talla:select:0,L:0,0,500,1
3995,Talla:select:0,XL:0,0,500,1
3995,Talla:select:0,XXL:0,0,500,1
3996,Talla:select:0,XS:0,0,500,1
3996,Talla:select:0,S:0,0,500,1
3996,Talla:select:0,M:0,1,500,1
3996,Talla:select:0,L:0,0,500,1
3996,Talla:select:0,XL:0,0,500,1
3996,Talla:select:0,XXL:0,0,500,1
3997,Talla:select:0,XS:0,0,500,1
3997,Talla:select:0,S:0,0,500,1
3997,Talla:select:0,M:0,1,500,1
3997,Talla:select:0,L:0,0,500,1
3997,Talla:select:0,XL:0,0,500,1
3997,Talla:select:0,XXL:0,0,500,1
3998,Talla:select:0,XS:0,0,500,1
3998,Talla:select:0,S:0,0,500,1
3998,Talla:select:0,M:0,1,500,1
3998,Talla:select:0,L:0,0,500,1
3998,Talla:select:0,XL:0,0,500,1
3998,Talla:select:0,XXL:0,0,500,1
3999,Talla:select:0,XS:0,0,500,1
3999,Talla:select:0,S:0,0,500,1
3999,Talla:select:0,M:0,1,500,1
3999,Talla:select:0,L:0,0,500,1
3999,Talla:select:0,XL:0,0,500,1
3999,Talla:select:0,XXL:0,0,500,1
4000,Talla:select:0,XS:0,0,500,1
4000,Talla:select:0,S:0,0,500,1
4000,Talla:select:0,M:0,1,500,1
4000,Talla:select:0,L:0,0,500,1
4000,Talla:select:0,XL:0,0,500,1
4000,Talla:select:0,XXL:0,0,500,1
4001,Talla:select:0,XS:0,0,500,1
4001,Talla:select:0,S:0,0,500,1
4001,Talla:select:0,M:0,1,500,1
4001,Talla:select:0,L:0,0,500,1
4001,Talla:select:0,XL:0,0,500,1
4001,Talla:select:0,XXL:0,0,500,1
4002,Talla:select:0,XS:0,0,500,1
4002,Talla:select:0,S:0,0,500,1
4002,Talla:select:0,M:0,1,500,1
4002,Talla:select:0,L:0,0,500,1
4002,Talla:select:0,XL:0,0,500,1
4002,Talla:select:0,XXL:0,0,500,1
4003,Talla:select:0,XS:0,0,500,1
4003,Talla:select:0,S:0,0,500,1
4003,Talla:select:0,M:0,1,500,1
4003,Talla:select:0,L:0,0,500,1
4003,Talla:select:0,XL:0,0,500,1
4003,Talla:select:0,XXL:0,0,500,1
4004,Talla:select:0,XS:0,0,500,1
4004,Talla:select:0,S:0,0,500,1
4004,Talla:select:0,M:0,1,500,1
4004,Talla:select:0,L:0,0,500,1
4004,Talla:select:0,XL:0,0,500,1
4004,Talla:select:0,XXL:0,0,500,1
4005,Talla:select:0,XS:0,0,500,1
4005,Talla:select:0,S:0,0,500,1
4005,Talla:select:0,M:0,1,500,1
4005,Talla:select:0,L:0,0,500,1
4005,Talla:select:0,XL:0,0,500,1
4005,Talla:select:0,XXL:0,0,500,1
4006,Talla:select:0,XS:0,0,500,1
4006,Talla:select:0,S:0,0,500,1
4006,Talla:select:0,M:0,1,500,1
4006,Talla:select:0,L:0,0,500,1
4006,Talla:select:0,XL:0,0,500,1
4006,Talla:select:0,XXL:0,0,500,1
4007,Talla:select:0,XS:0,0,500,1
4007,Talla:select:0,S:0,0,500,1
4007,Talla:select:0,M:0,1,500,1
4007,Talla:select:0,L:0,0,500,1
4007,Talla:select:0,XL:0,0,500,1
4007,Talla:select:0,XXL:0,0,500,1
4008,Talla:select:0,XS:0,0,500,1
4008,Talla:select:0,S:0,0,500,1
4008,Talla:select:0,M:0,1,500,1
