ID del producto,Atributo (nombre:tipo:posición),Valor (valor:posición),Por defecto,Cantidad,Cantidad mínima
2819,Talla:select:0,XS:0,0,500,1
2819,Talla:select:0,S:0,0,500,1
2819,Talla:select:0,M:0,1,500,1
2819,Talla:select:0,L:0,0,500,1
2819,Talla:select:0,XL:0,0,500,1
2819,Talla:select:0,XXL:0,0,500,1
2820,Talla:select:0,XS:0,0,500,1
2820,Talla:select:0,S:0,0,500,1
2820,Talla:select:0,M:0,1,500,1
2820,Talla:select:0,L:0,0,500,1
2820,Talla:select:0,XL:0,0,500,1
2820,Talla:select:0,XXL:0,0,500,1
2821,Talla:select:0,XS:0,0,500,1
2821,Talla:select:0,S:0,0,500,1
2821,Talla:select:0,M:0,1,500,1
2821,Talla:select:0,L:0,0,500,1
2821,Talla:select:0,XL:0,0,500,1
2821,Talla:select:0,XXL:0,0,500,1
2822,Talla:select:0,XS:0,0,500,1
2822,Talla:select:0,S:0,0,500,1
2822,Talla:select:0,M:0,1,500,1
2822,Talla:select:0,L:0,0,500,1
2822,Talla:select:0,XL:0,0,500,1
2822,Talla:select:0,XXL:0,0,500,1
2823,Talla:select:0,XS:0,0,500,1
2823,Talla:select:0,S:0,0,500,1
2823,Talla:select:0,M:0,1,500,1
2823,Talla:select:0,L:0,0,500,1
2823,Talla:select:0,XL:0,0,500,1
2823,Talla:select:0,XXL:0,0,500,1
2824,Talla:select:0,XS:0,0,500,1
2824,Talla:select:0,S:0,0,500,1
2824,Talla:select:0,M:0,1,500,1
2824,Talla:select:0,L:0,0,500,1
2824,Talla:select:0,XL:0,0,500,1
2824,Talla:select:0,XXL:0,0,500,1
2825,Talla:select:0,XS:0,0,500,1
2825,Talla:select:0,S:0,0,500,1
2825,Talla:select:0,M:0,1,500,1
2825,Talla:select:0,L:0,0,500,1
2825,Talla:select:0,XL:0,0,500,1
2825,Talla:select:0,XXL:0,0,500,1
2826,Talla:select:0,XS:0,0,500,1
2826,Talla:select:0,S:0,0,500,1
2826,Talla:select:0,M:0,1,500,1
2826,Talla:select:0,L:0,0,500,1
2826,Talla:select:0,XL:0,0,500,1
2826,Talla:select:0,XXL:0,0,500,1
2827,Talla:select:0,XS:0,0,500,1
2827,Talla:select:0,S:0,0,500,1
2827,Talla:select:0,M:0,1,500,1
2827,Talla:select:0,L:0,0,500,1
2827,Talla:select:0,XL:0,0,500,1
2827,Talla:select:0,XXL:0,0,500,1
2828,Talla:select:0,XS:0,0,500,1
2828,Talla:select:0,S:0,0,500,1
2828,Talla:select:0,M:0,1,500,1
2828,Talla:select:0,L:0,0,500,1
2828,Talla:select:0,XL:0,0,500,1
2828,Talla:select:0,XXL:0,0,500,1
2829,Talla:select:0,XS:0,0,500,1
2829,Talla:select:0,S:0,0,500,1
2829,Talla:select:0,M:0,1,500,1
2829,Talla:select:0,L:0,0,500,1
2829,Talla:select:0,XL:0,0,500,1
2829,Talla:select:0,XXL:0,0,500,1
2830,Talla:select:0,XS:0,0,500,1
2830,Talla:select:0,S:0,0,500,1
2830,Talla:select:0,M:0,1,500,1
2830,Talla:select:0,L:0,0,500,1
2830,Talla:select:0,XL:0,0,500,1
2830,Talla:select:0,XXL:0,0,500,1
2831,Talla:select:0,XS:0,0,500,1
2831,Talla:select:0,S:0,0,500,1
2831,Talla:select:0,M:0,1,500,1
2831,Talla:select:0,L:0,0,500,1
2831,Talla:select:0,XL:0,0,500,1
2831,Talla:select:0,XXL:0,0,500,1
2832,Talla:select:0,XS:0,0,500,1
2832,Talla:select:0,S:0,0,500,1
2832,Talla:select:0,M:0,1,500,1
2832,Talla:select:0,L:0,0,500,1
2832,Talla:select:0,XL:0,0,500,1
2832,Talla:select:0,XXL:0,0,500,1
2833,Talla:select:0,XS:0,0,500,1
2833,Talla:select:0,S:0,0,500,1
2833,Talla:select:0,M:0,1,500,1
2833,Talla:select:0,L:0,0,500,1
2833,Talla:select:0,XL:0,0,500,1
2833,Talla:select:0,XXL:0,0,500,1
2834,Talla:select:0,XS:0,0,500,1
2834,Talla:select:0,S:0,0,500,1
2834,Talla:select:0,M:0,1,500,1
2834,Talla:select:0,L:0,0,500,1
2834,Talla:select:0,XL:0,0,500,1
2834,Talla:select:0,XXL:0,0,500,1
2835,Talla:select:0,XS:0,0,500,1
2835,Talla:select:0,S:0,0,500,1
2835,Talla:select:0,M:0,1,500,1
2835,Talla:select:0,L:0,0,500,1
2835,Talla:select:0,XL:0,0,500,1
2835,Talla:select:0,XXL:0,0,500,1
2836,Talla:select:0,XS:0,0,500,1
2836,Talla:select:0,S:0,0,500,1
2836,Talla:select:0,M:0,1,500,1
2836,Talla:select:0,L:0,0,500,1
2836,Talla:select:0,XL:0,0,500,1
2836,Talla:select:0,XXL:0,0,500,1
2837,Talla:select:0,XS:0,0,500,1
2837,Talla:select:0,S:0,0,500,1
2837,Talla:select:0,M:0,1,500,1
2837,Talla:select:0,L:0,0,500,1
2837,Talla:select:0,XL:0,0,500,1
2837,Talla:select:0,XXL:0,0,500,1
2838,Talla:select:0,XS:0,0,500,1
2838,Talla:select:0,S:0,0,500,1
2838,Talla:select:0,M:0,1,500,1
2838,Talla:select:0,L:0,0,500,1
2838,Talla:select:0,XL:0,0,500,1
