Product ID*;"Attribute (Name:Type:Position)*	Value (Value:Position)*";Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
179696;Color:color:0;Negro:0;00026100000005;;;;;;;;;1;;3;http://phpandfriends.com/imagenes_promosillas/3964.jpg;1;;;;
179696;Color:color:0;Gris:0;00026100000006;;;;;;;;;0;;6;http://phpandfriends.com/imagenes_promosillas/3968.jpg;1;;;;
179696;Color:color:0;Azul:0;00026100000007;;;;;;;;;0;;11;http://phpandfriends.com/imagenes_promosillas/3973.jpg;1;;;;
179696;Color:color:0;Rojo:0;00026100000008;;;;;;;;;0;;16;http://phpandfriends.com/imagenes_promosillas/3978.jpg;1;;;;
179700;Color:color:0;Blanco:0;00026100000009;;;;;;;;;1;;3;http://phpandfriends.com/imagenes_promosillas/3934.jpg;1;;;;
179700;Color:color:0;Negro:0;00026100000010;;;;;;;;;0;;6;http://phpandfriends.com/imagenes_promosillas/3938.jpg;1;;;;
179702;Color:color:0;Blanco:0;00026100000011;;;;;;;;;1;;3;http://phpandfriends.com/imagenes_promosillas/3944.jpg;1;;;;
179702;Color:color:0;Negro:0;00026100000012;;;;;;;;;0;;6;http://phpandfriends.com/imagenes_promosillas/3948.jpg;1;;;;
179708;Color:color:0;Blanco:0;00026100000018;;;;;;;;;1;;1;http://phpandfriends.com/imagenes_promosillas/4270.jpg;1;;;;
179708;Color:color:0;Negro:0;00026100000019;;;;;;;;;0;;5;http://phpandfriends.com/imagenes_promosillas/4274.jpg;1;;;;
179711;Color:color:0;Azul:0;00026100000021;;;;;;;;;1;;3;http://phpandfriends.com/imagenes_promosillas/4325.jpg;1;;;;
179711;Color:color:0;Gris:0;00026100000022;;;;;;;;;0;;6;http://phpandfriends.com/imagenes_promosillas/4329.jpg;1;;;;
179711;Color:color:0;Negro:0;00026100000023;;;;;;;;;0;;11;http://phpandfriends.com/imagenes_promosillas/4334.jpg;1;;;;
179711;Color:color:0;Rojo:0;00026100000024;;;;;;;;;0;;16;http://phpandfriends.com/imagenes_promosillas/4339.jpg;1;;;;
179719;Color:color:0;Azul:0;00026100000025;;;;;;;;;1;;4;http://phpandfriends.com/imagenes_promosillas/4141.jpg;1;;;;
179719;Color:color:0;Variante:0;00026100000026;;;;;;;;;0;;6;http://phpandfriends.com/imagenes_promosillas/4145.jpg;1;;;;
179719;Color:color:0;Naranja:0;00026100000027;;;;;;;;;0;;11;http://phpandfriends.com/imagenes_promosillas/4150.jpg;1;;;;
179719;Color:color:0;Negro:0;00026100000028;;;;;;;;;0;;16;http://phpandfriends.com/imagenes_promosillas/4155.jpg;1;;;;
179719;Color:color:0;Gris:0;00026100000029;;;;;;;;;0;;22;http://phpandfriends.com/imagenes_promosillas/4160.jpg;1;;;;
179720;Color:color:0;Negro:0;00026100000030;;;;;;;;;1;;2;http://phpandfriends.com/imagenes_promosillas/4175.jpg;1;;;;
179720;Color:color:0;Azul:0;00026100000031;;;;;;;;;0;;6;http://phpandfriends.com/imagenes_promosillas/4179.jpg;1;;;;
179720;Color:color:0;:0;00026100000032;;;;;;;;;0;;11;http://phpandfriends.com/imagenes_promosillas/4184.jpg;1;;;;
179720;Color:color:0;Gris:0;00026100000033;;;;;;;;;0;;16;http://phpandfriends.com/imagenes_promosillas/4189.jpg;1;;;;
179725;Color:color:0;Negro:0;00026100000035;;;;;;;;;1;;1;http://phpandfriends.com/imagenes_promosillas/4200.jpg;1;;;;
179725;Color:color:0;Rojo:0;00026100000036;;;;;;;;;0;;5;http://phpandfriends.com/imagenes_promosillas/4204.jpg;1;;;;
179725;Color:color:0;Azul:0;00026100000037;;;;;;;;;0;;10;http://phpandfriends.com/imagenes_promosillas/4209.jpg;1;;;;
179725;Color:color:0;Gris:0;00026100000038;;;;;;;;;0;;15;http://phpandfriends.com/imagenes_promosillas/4214.jpg;1;;;;
179736;Color:color:0;Verde:0;00026100000045;;;;;;;;;1;;3;http://phpandfriends.com/imagenes_promosillas/4220.jpg;1;;;;
179736;Color:color:0;Azul:0;00026100000046;;;;;;;;;0;;6;http://phpandfriends.com/imagenes_promosillas/4224.jpg;1;;;;
179736;Color:color:0;Naranja:0;00026100000047;;;;;;;;;0;;11;http://phpandfriends.com/imagenes_promosillas/4229.jpg;1;;;;
179736;Color:color:0;Negro:0;00026100000048;;;;;;;;;0;;16;http://phpandfriends.com/imagenes_promosillas/4234.jpg;1;;;;
179736;Color:color:0;Gris:0;00026100000049;;;;;;;;;0;;21;http://phpandfriends.com/imagenes_promosillas/4239.jpg;1;;;;
179736;Color:color:0;Verde:0;00026100000050;;;;;;;;;0;;26;http://phpandfriends.com/imagenes_promosillas/4244.jpg;1;;;;
179749;Color:color:0;Blanco:0;00026100000057;;;;;;;;;1;;1;http://phpandfriends.com/imagenes_promosillas/4042.jpg;1;;;;
179749;Color:color:0;Negro:0;00026100000058;;;;;;;;;0;;5;http://phpandfriends.com/imagenes_promosillas/4046.jpg;1;;;;
179749;Color:color:0;Marron:0;00026100000059;;;;;;;;;0;;10;http://phpandfriends.com/imagenes_promosillas/4051.jpg;1;;;;
179749;Color:color:0;Gris:0;00026100000060;;;;;;;;;0;;15;http://phpandfriends.com/imagenes_promosillas/4056.jpg;1;;;;
179749;Color:color:0;Gris:0;00026100000061;;;;;;;;;0;;20;http://phpandfriends.com/imagenes_promosillas/4061.jpg;1;;;;
179755;Color:color:0;Negro:0;00026100000064;;;;;;;;;1;;0;http://phpandfriends.com/imagenes_promosillas/4119.jpg;1;;;;
179755;Color:color:0;Blanco:0;00026100000065;;;;;;;;;0;;2;http://phpandfriends.com/imagenes_promosillas/4121.jpg;1;;;;
179755;Color:color:0;Marron:0;00026100000066;;;;;;;;;0;;3;http://phpandfriends.com/imagenes_promosillas/4122.jpg;1;;;;
179755;Color:color:0;Gris:0;00026100000067;;;;;;;;;0;;4;http://phpandfriends.com/imagenes_promosillas/4123.jpg;1;;;;
179755;Color:color:0;Gris:0;00026100000068;;;;;;;;;0;;5;http://phpandfriends.com/imagenes_promosillas/4124.jpg;1;;;;
179762;Color:color:0;Blanco:0;00026100000071;;;;;;;;;1;;1;http://phpandfriends.com/imagenes_promosillas/3954.jpg;1;;;;
179762;Color:color:0;Negro:0;00026100000072;;;;;;;;;0;;5;http://phpandfriends.com/imagenes_promosillas/3958.jpg;1;;;;
179769;Color:color:0;Negro:0;00026100000079;;;;;;;;;1;;1;http://phpandfriends.com/imagenes_promosillas/3894.jpg;1;;;;
179769;Color:color:0;Gris:0;00026100000080;;;;;;;;;0;;5;http://phpandfriends.com/imagenes_promosillas/3898.jpg;1;;;;
179769;Color:color:0;Azul:0;00026100000081;;;;;;;;;0;;10;http://phpandfriends.com/imagenes_promosillas/3903.jpg;1;;;;
179769;Color:color:0;:0;00026100000082;;;;;;;;;0;;15;http://phpandfriends.com/imagenes_promosillas/3908.jpg;1;;;;
4131;Color:color:0;Marron:0;00006002010000;;;;;;;;;1;;1;http://phpandfriends.com/imagenes_promosillas/3580.jpg;1;;;;
4131;Color:color:0;Blanco:0;00006002020000;;;;;;;;;0;;5;http://phpandfriends.com/imagenes_promosillas/3584.jpg;1;;;;
4131;Color:color:0;Beige:0;00006002030000;;;;;;;;;0;;10;http://phpandfriends.com/imagenes_promosillas/3589.jpg;1;;;;
4131;Color:color:0;Negro:0;00006002040000;;;;;;;;;0;;15;http://phpandfriends.com/imagenes_promosillas/3594.jpg;1;;;;
4137;Color:color:0;Marron:0;00006003010000;;;;;;;;;1;;1;http://phpandfriends.com/imagenes_promosillas/3792.jpg;1;;;;
4137;Color:color:0;Beige:0;00006003030000;;;;;;;;;0;;5;http://phpandfriends.com/imagenes_promosillas/3796.jpg;1;;;;
4137;Color:color:0;Negro:0;00006003040000;;;;;;;;;0;;10;http://phpandfriends.com/imagenes_promosillas/3801.jpg;1;;;;
4149;Color:color:0;Blanco:0;00006008050000;;;;;;;;;1;;1;http://phpandfriends.com/imagenes_promosillas/1830.jpg;1;;;;
4149;Color:color:0;Negro:0;00006008060000;;;;;;;;;0;;3;http://phpandfriends.com/imagenes_promosillas/1832.jpg;1;;;;
4149;Color:color:0;Rojo:0;00006008070000;;;;;;;;;0;;5;http://phpandfriends.com/imagenes_promosillas/1834.jpg;1;;;;
4153;Color:color:0;Blanco:0;00006009050000;;;;;;;;;1;;1;http://phpandfriends.com/imagenes_promosillas/1837.jpg;1;;;;
4153;Color:color:0;Negro:0;00006009060000;;;;;;;;;0;;5;http://phpandfriends.com/imagenes_promosillas/1841.jpg;1;;;;
4153;Color:color:0;Rojo:0;00006009070000;;;;;;;;;0;;10;http://phpandfriends.com/imagenes_promosillas/1846.jpg;1;;;;
4164;Color:color:0;Blanco:0;00008001010000;;;;;;;;;1;;5;http://phpandfriends.com/imagenes_promosillas/3373.jpg;1;;;;
4164;Color:color:0;Marron:0;00008001000013;;;;;;;;;0;;2;http://phpandfriends.com/imagenes_promosillas/3369.jpg;1;;;;
43768;Color:color:0;Negro:0;00026057000003;;;;;;;;;1;;3;http://phpandfriends.com/imagenes_promosillas/1815.jpg;1;;;;
43768;Color:color:0;Blanco:0;00026057000004;;;;;;;;;0;;6;http://phpandfriends.com/imagenes_promosillas/1819.jpg;1;;;;
43768;Color:color:0;:0;00026000000370;;;;;;;;;0;;11;http://phpandfriends.com/imagenes_promosillas/1824.jpg;1;;;;
43773;Color:color:0;Blanco:0;00026057000008;;;;;;;;;1;;5;http://phpandfriends.com/imagenes_promosillas/1809.jpg;1;;;;
43773;Color:color:0;Negro:0;00026057000007;;;;;;;;;0;;1;http://phpandfriends.com/imagenes_promosillas/1805.jpg;1;;;;
54733;Color:color:0;Blanco:0;00011008020000;;;;;;;;;1;;3;http://phpandfriends.com/imagenes_promosillas/19016.jpg;1;;;;
54733;Color:color:0;:0;00011008020001;;;;;;;;;0;;6;http://phpandfriends.com/imagenes_promosillas/19020.jpg;1;;;;
54733;Color:color:0;Negro:0;00011008050000;;;;;;;;;0;;10;http://phpandfriends.com/imagenes_promosillas/19024.jpg;1;;;;
54737;Color:color:0;Blanco:0;00011009050000;;;;;;;;;1;;5;http://phpandfriends.com/imagenes_promosillas/1795.jpg;1;;;;
54737;Color:color:0;Gris:0;00011009050001;;;;;;;;;0;;10;http://phpandfriends.com/imagenes_promosillas/1800.jpg;1;;;;
54737;Color:color:0;Negro:0;00011000000019;;;;;;;;;0;;1;http://phpandfriends.com/imagenes_promosillas/1791.jpg;1;;;;
65593;Color:color:0;Negro:0;00008007000000;;;;;;;;;1;;1;http://phpandfriends.com/imagenes_promosillas/3777.jpg;1;;;;
65593;Color:color:0;Blanco:0;00008007010001;;;;;;;;;0;;5;http://phpandfriends.com/imagenes_promosillas/3781.jpg;1;;;;
65593;Color:color:0;Marron:0;00008007080000;;;;;;;;;0;;10;http://phpandfriends.com/imagenes_promosillas/3786.jpg;1;;;;
69237;Color:color:0;:0;00089001000000;;;;;;;;;1;;1;http://phpandfriends.com/imagenes_promosillas/3723.jpg;1;;;;
69237;Color:color:0;:0;00089001000001;;;;;;;;;0;;5;http://phpandfriends.com/imagenes_promosillas/3727.jpg;1;;;;
69237;Color:color:0;:0;00089001000002;;;;;;;;;0;;9;http://phpandfriends.com/imagenes_promosillas/3731.jpg;1;;;;
69237;Color:color:0;Gris:0;00089001000003;;;;;;;;;0;;13;http://phpandfriends.com/imagenes_promosillas/3735.jpg;1;;;;
69237;Color:color:0;Beige:0;00089001000004;;;;;;;;;0;;17;http://phpandfriends.com/imagenes_promosillas/3739.jpg;1;;;;
69237;Color:color:0;Antracita:0;00089001000005;;;;;;;;;0;;21;http://phpandfriends.com/imagenes_promosillas/3743.jpg;1;;;;
69241;Color:color:0;:0;00089002000000;;;;;;;;;1;;1;http://phpandfriends.com/imagenes_promosillas/3856.jpg;1;;;;
69241;Color:color:0;:0;00089002000001;;;;;;;;;0;;5;http://phpandfriends.com/imagenes_promosillas/3860.jpg;1;;;;
69241;Color:color:0;:0;00089002000002;;;;;;;;;0;;9;http://phpandfriends.com/imagenes_promosillas/3864.jpg;1;;;;
69241;Color:color:0;:0;00089002000003;;;;;;;;;0;;13;http://phpandfriends.com/imagenes_promosillas/3868.jpg;1;;;;
69241;Color:color:0;:0;00089002000004;;;;;;;;;0;;17;http://phpandfriends.com/imagenes_promosillas/3872.jpg;1;;;;
69241;Color:color:0;:0;00089002000005;;;;;;;;;0;;21;http://phpandfriends.com/imagenes_promosillas/3876.jpg;1;;;;
70759;Color:color:0;Negro:0;00009001000000;;;;;;;;;1;;10;http://phpandfriends.com/imagenes_promosillas/4389.jpg;1;;;;
70759;Color:color:0;Blanco:0;00009001000013;;;;;;;;;0;;15;http://phpandfriends.com/imagenes_promosillas/4394.jpg;1;;;;
70759;Color:color:0;Gris:0;00009000000000;;;;;;;;;0;;1;http://phpandfriends.com/imagenes_promosillas/4380.jpg;1;;;;
70759;Color:color:0;Marron:0;00009000000001;;;;;;;;;0;;5;http://phpandfriends.com/imagenes_promosillas/4384.jpg;1;;;;
97692;Color:color:0;Blanco:0;00066001000006;;;;;;;;;1;;1;http://phpandfriends.com/imagenes_promosillas/3826.jpg;1;;;;
97692;Color:color:0;Marron:0;00066001000007;;;;;;;;;0;;5;http://phpandfriends.com/imagenes_promosillas/3830.jpg;1;;;;
97692;Color:color:0;Gris:0;00066006010001;;;;;;;;;0;;9;http://phpandfriends.com/imagenes_promosillas/3834.jpg;1;;;;
122690;Color:color:0;Blanco:0;00026000000012;;;;;;;;;1;;5;http://phpandfriends.com/imagenes_promosillas/4071.jpg;1;;;;
122690;Color:color:0;Negro:0;00026000000011;;;;;;;;;0;;1;http://phpandfriends.com/imagenes_promosillas/4067.jpg;1;;;;
122690;Color:color:0;Gris:0;00026000000013;;;;;;;;;0;;9;http://phpandfriends.com/imagenes_promosillas/4075.jpg;1;;;;
122725;Color:color:0;Blanco:0;00026000000032;;;;;;;;;1;;1;http://phpandfriends.com/imagenes_promosillas/4629.jpg;1;;;;
122725;Color:color:0;Negro:0;00026000000041;;;;;;;;;0;;5;http://phpandfriends.com/imagenes_promosillas/4633.jpg;1;;;;
122725;Color:color:0;Gris:0;00026000000072;;;;;;;;;0;;10;http://phpandfriends.com/imagenes_promosillas/4638.jpg;1;;;;
129154;Color:color:0;Gris:0;00008001000014;;;;;;;;;1;;1;http://phpandfriends.com/imagenes_promosillas/4471.jpg;1;;;;
129154;Color:color:0;Marron:0;00008001000015;;;;;;;;;0;;5;http://phpandfriends.com/imagenes_promosillas/4475.jpg;1;;;;
141203;Color:color:0;Gris:0;00009001010002;;;;;;;;;1;;5;http://phpandfriends.com/imagenes_promosillas/4623.jpg;1;;;;
141203;Color:color:0;Marron:0;00009001000005;;;;;;;;;0;;1;http://phpandfriends.com/imagenes_promosillas/4619.jpg;1;;;;
154540;Color:color:0;Marron:0;00009013000001;;;;;;;;;1;;1;http://phpandfriends.com/imagenes_promosillas/4589.jpg;1;;;;
154540;Color:color:0;Gris:0;00009013000002;;;;;;;;;0;;5;http://phpandfriends.com/imagenes_promosillas/4593.jpg;1;;;;
154540;Color:color:0;Gris:0;00009013000003;;;;;;;;;0;;10;http://phpandfriends.com/imagenes_promosillas/4598.jpg;1;;;;
154542;Color:color:0;Gris:0;00009001000009;;;;;;;;;1;;1;http://phpandfriends.com/imagenes_promosillas/4365.jpg;1;;;;
154542;Color:color:0;Marron:0;00009001000010;;;;;;;;;0;;5;http://phpandfriends.com/imagenes_promosillas/4369.jpg;1;;;;
154542;Color:color:0;Gris:0;00009001000011;;;;;;;;;0;;10;http://phpandfriends.com/imagenes_promosillas/4374.jpg;1;;;;
154554;Color:color:0;Gris:0;00009001000016;;;;;;;;;1;;1;http://phpandfriends.com/imagenes_promosillas/4433.jpg;1;;;;
154554;Color:color:0;Negro:0;00009001000017;;;;;;;;;0;;5;http://phpandfriends.com/imagenes_promosillas/4437.jpg;1;;;;
154554;Color:color:0;Marron:0;00009001000018;;;;;;;;;0;;10;http://phpandfriends.com/imagenes_promosillas/4442.jpg;1;;;;
154558;Color:color:0;Negro:0;00009001000019;;;;;;;;;1;;1;http://phpandfriends.com/imagenes_promosillas/4448.jpg;1;;;;
154558;Color:color:0;Blanco:0;00009001000020;;;;;;;;;0;;5;http://phpandfriends.com/imagenes_promosillas/4452.jpg;1;;;;
154559;Color:color:0;Gris:0;00009001000021;;;;;;;;;1;;1;http://phpandfriends.com/imagenes_promosillas/4517.jpg;1;;;;
154559;Color:color:0;Marron:0;00009001000022;;;;;;;;;0;;5;http://phpandfriends.com/imagenes_promosillas/4521.jpg;1;;;;
154881;Color:color:0;Negro:0;00008001000033;;;;;;;;;1;;1;http://phpandfriends.com/imagenes_promosillas/4354.jpg;1;;;;
154881;Color:color:0;Blanco:0;00008001000034;;;;;;;;;0;;6;http://phpandfriends.com/imagenes_promosillas/4359.jpg;1;;;;
186789;Color:color:0;Blanco:0;00026700000000;;;;;;;;;1;;1;http://phpandfriends.com/imagenes_promosillas/1767.jpg;1;;;;
186789;Color:color:0;Negro:0;00026700000001;;;;;;;;;0;;5;http://phpandfriends.com/imagenes_promosillas/1771.jpg;1;;;;
186789;Color:color:0;Gris:0;00026700000002;;;;;;;;;0;;9;http://phpandfriends.com/imagenes_promosillas/1775.jpg;1;;;;
187385;Color:color:0;Negro:0;00026100000109;;;;;;;;;1;;1;http://phpandfriends.com/imagenes_promosillas/4255.jpg;1;;;;
187385;Color:color:0;Gris:0;00026100000110;;;;;;;;;0;;5;http://phpandfriends.com/imagenes_promosillas/4259.jpg;1;;;;
187385;Color:color:0;Azul:0;00026100000111;;;;;;;;;0;;10;http://phpandfriends.com/imagenes_promosillas/4264.jpg;1;;;;
191376;Color:color:0;Gris:0;00006000000005;;;;;;;;;1;;1;http://phpandfriends.com/imagenes_promosillas/3573.jpg;1;;;;
