Product ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
4131;;;;;;;;;;;;00006002010000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4137;;;;;;;;;;;;00006003010000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4149;;;;;;;;;;;;00006008050000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4153;;;;;;;;;;;;00006009050000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4164;;;;;;;;;;;;00008001010000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43768;;;;;;;;;;;;00026057000003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43773;;;;;;;;;;;;00026057000008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54733;;;;;;;;;;;;00011008020000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54737;;;;;;;;;;;;00011009050000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65593;;;;;;;;;;;;00008007000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69237;;;;;;;;;;;;00089001000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69241;;;;;;;;;;;;00089002000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70759;;;;;;;;;;;;00009001000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97692;;;;;;;;;;;;00066001000006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
122690;;;;;;;;;;;;00026000000012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
122725;;;;;;;;;;;;00026000000032;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
129154;;;;;;;;;;;;00008001000014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
141203;;;;;;;;;;;;00009001010002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
154540;;;;;;;;;;;;00009013000001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
154542;;;;;;;;;;;;00009001000009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
154554;;;;;;;;;;;;00009001000016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
154558;;;;;;;;;;;;00009001000019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
154559;;;;;;;;;;;;00009001000021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
154881;;;;;;;;;;;;00008001000033;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
179691;;;;;;;;;;;;00026100000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
179696;;;;;;;;;;;;00026100000005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
179700;;;;;;;;;;;;00026100000009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
179702;;;;;;;;;;;;00026100000011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
179708;;;;;;;;;;;;00026100000018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
179711;;;;;;;;;;;;00026100000021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
179719;;;;;;;;;;;;00026100000025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
179720;;;;;;;;;;;;00026100000030;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
179725;;;;;;;;;;;;00026100000035;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
179736;;;;;;;;;;;;00026100000045;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
179749;;;;;;;;;;;;00026100000057;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
179755;;;;;;;;;;;;00026100000064;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
179762;;;;;;;;;;;;00026100000071;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
179769;;;;;;;;;;;;00026100000079;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
186789;;;;;;;;;;;;00026700000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
187385;;;;;;;;;;;;00026100000109;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
189242;;;;;;;;;;;;00089002000007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
189243;;;;;;;;;;;;00089002000009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191376;;;;;;;;;;;;00006000000005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191379;;;;;;;;;;;;00006000000007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191380;;;;;;;;;;;;00103000000008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191384;;;;;;;;;;;;00103000000012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191388;;;;;;;;;;;;00102000000006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191392;;;;;;;;;;;;00102000000010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191430;;;;;;;;;;;;00026000000350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191433;;;;;;;;;;;;00026000000353;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191439;;;;;;;;;;;;00026000000359;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191458;;;;;;;;;;;;00100000000009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191461;;;;;;;;;;;;00100000000011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191463;;;;;;;;;;;;00100000000013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191480;;;;;;;;;;;;00101000000026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191486;;;;;;;;;;;;00008000000005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191491;;;;;;;;;;;;00008000000009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191492;;;;;;;;;;;;00008000000011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191507;;;;;;;;;;;;00009000000002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191508;;;;;;;;;;;;00009000000005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191510;;;;;;;;;;;;00009000000007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191513;;;;;;;;;;;;00009000000009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191516;;;;;;;;;;;;00009000000011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191517;;;;;;;;;;;;00009000000014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193584;;;;;;;;;;;;00026001000018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
194593;;;;;;;;;;;;00026000000508;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
194599;;;;;;;;;;;;00026000000512;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
194600;;;;;;;;;;;;00026000000513;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
194601;;;;;;;;;;;;00026000000514;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
194608;;;;;;;;;;;;00026000000518;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
