Product ID;Active (0/1);Name *;Categories (x,y,z...);Price tax included;Tax rules ID;Reference #;EAN13;Weight;Quantity;Minimal quantity;Text when in stock;Available for order (0 = No, 1 = Yes);Show price (0 = No, 1 = Yes);en oferta;valor dto;desde dto;Image URLs (x,y,z...);Feature(Name:Value:Position);hasta dto;Description
179691;;;7,4,9;;;;;;;;;;;;;;;;;
179696;;;7,4,9;;;;;;;;;;;;;;;;;
200180;;;7,4,9;;;;;;;;;;;;;;;;;
179700;;;7,4,9;;;;;;;;;;;;;;;;;
179702;;;7,4,9;;;;;;;;;;;;;;;;;
179703;;;7,4,9;;;;;;;;;;;;;;;;;
179704;;;7,4,9;;;;;;;;;;;;;;;;;
200082;;;7,4,9;;;;;;;;;;;;;;;;;
200084;;;7,4,9;;;;;;;;;;;;;;;;;
200079;;;7,4,9;;;;;;;;;;;;;;;;;
200081;;;7,4,9;;;;;;;;;;;;;;;;;
179708;;;7,4,9;;;;;;;;;;;;;;;;;
179710;;;7,4,9;;;;;;;;;;;;;;;;;
179711;;;7,4,9;;;;;;;;;;;;;;;;;
179719;;;7,4,10;;;;;;;;;;;;;;;;;
179720;;;7,4,10;;;;;;;;;;;;;;;;;
179724;;;7,4,10;;;;;;;;;;;;;;;;;
200119;;;28,2;;;;;;;;;;;;;;;;;
200125;;;28,2;;;;;;;;;;;;;;;;;
200191;;;28,2;;;;;;;;;;;;;;;;;
200137;;;7,4,10;;;;;;;;;;;;;;;;;
200136;;;7,4,10;;;;;;;;;;;;;;;;;
200192;;;28,2;;;;;;;;;;;;;;;;;
200139;;;7,4,10;;;;;;;;;;;;;;;;;
200145;;;28,2;;;;;;;;;;;;;;;;;
200140;;;7,4,9;;;;;;;;;;;;;;;;;
200141;;;7,4,9;;;;;;;;;;;;;;;;;
200144;;;28,2;;;;;;;;;;;;;;;;;
200188;;;7,4,10;;;;;;;;;;;;;;;;;
200190;;;7,4,10;;;;;;;;;;;;;;;;;
200185;;;7,4,10;;;;;;;;;;;;;;;;;
200187;;;7,4,10;;;;;;;;;;;;;;;;;
179725;;;7,4,10;;;;;;;;;;;;;;;;;
179729;;;7,4,10;;;;;;;;;;;;;;;;;
200181;;;28,2;;;;;;;;;;;;;;;;;
179730;;;4,2,10;;;;;;;;;;;;;;;;;
179731;;;4,2,10;;;;;;;;;;;;;;;;;
179733;;;4,2,10;;;;;;;;;;;;;;;;;
179734;;;4,2,10;;;;;;;;;;;;;;;;;
200164;;;28,2;;;;;;;;;;;;;;;;;
179735;;;4,2;;;;;;;;;;;;;;;;;
179736;;;4,2;;;;;;;;;;;;;;;;;
200134;;;28,2;;;;;;;;;;;;;;;;;
200131;;;28,2;;;;;;;;;;;;;;;;;
179746;;;4,2,9;;;;;;;;;;;;;;;;;
179732;;;4,2,9;;;;;;;;;;;;;;;;;
200177;;;4,2,9;;;;;;;;;;;;;;;;;
179747;;;4,2;;;;;;;;;;;;;;;;;
179749;;;4,2;;;;;;;;;;;;;;;;;
179754;;;4,2,13;;;;;;;;;;;;;;;;;
179755;;;4,2,13;;;;;;;;;;;;;;;;;
179760;;;4,2;;;;;;;;;;;;;;;;;
200167;;;4,2;;;;;;;;;;;;;;;;;
200168;;;4,2,15;;;;;;;;;;;;;;;;;
200171;;;28,2;;;;;;;;;;;;;;;;;
200110;;;16,4,2;;;;;;;;;;;;;;;;;
196642;;;16,4,2;;;;;;;;;;;;;;;;;
196643;;;16,4,2;;;;;;;;;;;;;;;;;
200111;;;4,2;;;;;;;;;;;;;;;;;
200112;;;4,2,15;;;;;;;;;;;;;;;;;
200115;;;4,2;;;;;;;;;;;;;;;;;
200116;;;4,2,15;;;;;;;;;;;;;;;;;
200172;;;4,2,10;;;;;;;;;;;;;;;;;
200176;;;4,2,10;;;;;;;;;;;;;;;;;
179761;;;4,2;;;;;;;;;;;;;;;;;
179762;;;4,2;;;;;;;;;;;;;;;;;
200174;;;4,2,15;;;;;;;;;;;;;;;;;
200165;;;4,2;;;;;;;;;;;;;;;;;
200175;;;4,2;;;;;;;;;;;;;;;;;
200146;;;4,2,9;;;;;;;;;;;;;;;;;
200147;;;4,2,9;;;;;;;;;;;;;;;;;
200148;;;4,2,15;;;;;;;;;;;;;;;;;
200197;;;12,4,13;;;;;;;;;;;;;;;;;
200198;;;12,4,23,6;;;;;;;;;;;;;;;;;
200095;;;12,4,13;;;;;;;;;;;;;;;;;
200089;;;12,4,23,6;;;;;;;;;;;;;;;;;
200211;;;12,4,13;;;;;;;;;;;;;;;;;
200053;;;12,4,23,6;;;;;;;;;;;;;;;;;
200313;;;12,4,13;;;;;;;;;;;;;;;;;
200297;;;12,4,13;;;;;;;;;;;;;;;;;
200325;;;12,4,13;;;;;;;;;;;;;;;;;
200326;;;12,4,13;;;;;;;;;;;;;;;;;
200296;;;12,4,23,6;;;;;;;;;;;;;;;;;
200203;;;29,6;;;;;;;;;;;;;;;;;
200107;;;29,6;;;;;;;;;;;;;;;;;
200312;;;29,6;;;;;;;;;;;;;;;;;
200059;;;29,6;;;;;;;;;;;;;;;;;
200058;;;29,6;;;;;;;;;;;;;;;;;
200056;;;29,6;;;;;;;;;;;;;;;;;
200057;;;29,6;;;;;;;;;;;;;;;;;
179769;;;12,4,13;;;;;;;;;;;;;;;;;
179773;;;4,2,12;;;;;;;;;;;;;;;;;
179774;;;4,2,15;;;;;;;;;;;;;;;;;
200173;;;4,2,15;;;;;;;;;;;;;;;;;
179777;;;4,2,12;;;;;;;;;;;;;;;;;
187384;;;4,2,9;;;;;;;;;;;;;;;;;
187385;;;4,2,9;;;;;;;;;;;;;;;;;
194593;;;4,2,9;;;;;;;;;;;;;;;;;
194608;;;4,2,9;;;;;;;;;;;;;;;;;
196703;;;19,5,9,4;;;;;;;;;;;;;;;;;
196706;;;19,5,9,4;;;;;;;;;;;;;;;;;
196709;;;10,4,9;;;;;;;;;;;;;;;;;
196634;;;18,5,17;;;;;;;;;;;;;;;;;
196638;;;18,5,17;;;;;;;;;;;;;;;;;
196651;;;12,4,13;;;;;;;;;;;;;;;;;
196656;;;12,4,13;;;;;;;;;;;;;;;;;
196660;;;12,4,13;;;;;;;;;;;;;;;;;
196663;;;12,4,13;;;;;;;;;;;;;;;;;
196666;;;18,5,17;;;;;;;;;;;;;;;;;
196668;;;18,5,17;;;;;;;;;;;;;;;;;
154542;;;18,5,17;;;;;;;;;;;;;;;;;
122690;;;18,5,17;;;;;;;;;;;;;;;;;
122725;;;18,5,17;;;;;;;;;;;;;;;;;
65593;;;18,5,17;;;;;;;;;;;;;;;;;
129154;;;18,5,17;;;;;;;;;;;;;;;;;
154881;;;18,5,17;;;;;;;;;;;;;;;;;
4164;;;18,5,17;;;;;;;;;;;;;;;;;
69237;;;18,5,17;;;;;;;;;;;;;;;;;
69241;;;18,5,17;;;;;;;;;;;;;;;;;
97692;;;18,5,17;;;;;;;;;;;;;;;;;
186789;;;29,6;;;;;;;;;;;;;;;;;
4149;;;29,6;;;;;;;;;;;;;;;;;
4153;;;29,6;;;;;;;;;;;;;;;;;
191380;;;18,5,17;;;;;;;;;;;;;;;;;
191384;;;18,5,17;;;;;;;;;;;;;;;;;
191388;;;18,5,17;;;;;;;;;;;;;;;;;
191392;;;18,5,17;;;;;;;;;;;;;;;;;
191430;;;19,5,9,4;;;;;;;;;;;;;;;;;
191433;;;19,5,9,4;;;;;;;;;;;;;;;;;
191436;;;29,6;;;;;;;;;;;;;;;;;
191439;;;29,6;;;;;;;;;;;;;;;;;
54733;;;18,5,17;;;;;;;;;;;;;;;;;
191440;;;18,5,17;;;;;;;;;;;;;;;;;
54737;;;29,6,26;;;;;;;;;;;;;;;;;
191442;;;18,5,17;;;;;;;;;;;;;;;;;
191458;;;18,5,17;;;;;;;;;;;;;;;;;
191461;;;18,5,17;;;;;;;;;;;;;;;;;
191463;;;18,5,17;;;;;;;;;;;;;;;;;
191464;;;18,5,17;;;;;;;;;;;;;;;;;
191465;;;18,5,17;;;;;;;;;;;;;;;;;
191466;;;18,5,17;;;;;;;;;;;;;;;;;
191486;;;18,5,17;;;;;;;;;;;;;;;;;
191491;;;18,5,17;;;;;;;;;;;;;;;;;
191492;;;18,5,17;;;;;;;;;;;;;;;;;
70759;;;18,5,17;;;;;;;;;;;;;;;;;
191507;;;18,5,17;;;;;;;;;;;;;;;;;
141205;;;18,5,17;;;;;;;;;;;;;;;;;
154559;;;18,5,17;;;;;;;;;;;;;;;;;
191508;;;18,5,17;;;;;;;;;;;;;;;;;
191510;;;18,5,17;;;;;;;;;;;;;;;;;
191513;;;18,5,17;;;;;;;;;;;;;;;;;
141203;;;18,5,17;;;;;;;;;;;;;;;;;
154540;;;18,5,17;;;;;;;;;;;;;;;;;
191516;;;18,5,17;;;;;;;;;;;;;;;;;
191517;;;18,5,17;;;;;;;;;;;;;;;;;
154554;;;18,5,17;;;;;;;;;;;;;;;;;
154558;;;18,5,17;;;;;;;;;;;;;;;;;
43768;;;29,6;;;;;;;;;;;;;;;;;
43773;;;29,6;;;;;;;;;;;;;;;;;
191480;;;21,5;;;;;;;;;;;;;;;;;
4131;;;21,5;;;;;;;;;;;;;;;;;
4137;;;21,5;;;;;;;;;;;;;;;;;
191376;;;21,5;;;;;;;;;;;;;;;;;
191379;;;21,5;;;;;;;;;;;;;;;;;
189242;;;18,5,17;;;;;;;;;;;;;;;;;
189243;;;18,5,17;;;;;;;;;;;;;;;;;
196610;;;18,5,17;;;;;;;;;;;;;;;;;
196613;;;18,5,17;;;;;;;;;;;;;;;;;
196617;;;18,5,17;;;;;;;;;;;;;;;;;
196621;;;18,5,17;;;;;;;;;;;;;;;;;
194601;;;16,4;;;;;;;;;;;;;;;;;
194600;;;16,4;;;;;;;;;;;;;;;;;
194599;;;16,4;;;;;;;;;;;;;;;;;
200328;;;16,4;;;;;;;;;;;;;;;;;
200330;;;16,4;;;;;;;;;;;;;;;;;
200332;;;16,4;;;;;;;;;;;;;;;;;
200334;;;16,4;;;;;;;;;;;;;;;;;
200335;;;16,4;;;;;;;;;;;;;;;;;
